wargear_id|line|name|Range|type|S|AP|D|abilities|
000001059|1|Animus speculum|18"|Assault D3|5|-4|1|Whilst there are any enemy <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">PSYKER</a> units within 18" of the bearer, change this weapon’s Type characteristic to <a href="/wh40k9ed/the-rules/core-rules/#ASSAULT">Assault D6</a>.|
000001060|1|Blind grenade|12"|Grenade D6|*|*|*|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>. This weapon does not inflict any damage (do not make any <a href="/wh40k9ed/the-rules/core-rules/#2.-Wound-Roll">wound rolls</a>). Instead, if a unit is hit by any blind grenades, subtract 1 from all <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit rolls</a> for attacks made by that unit until the end of the turn.|
000001061|1|Executioner pistol|12"|Pistol 4|4|-1|1|You can re-roll <a href="/wh40k9ed/the-rules/core-rules/#2.-Wound-Roll">wound rolls</a> for attacks made with this weapon that target INFANTRY units.|
000001062|1|Exitus pistol|12"|Pistol 1|4|-3|D3|When resolving an attack made with this weapon, an <a href="/wh40k9ed/the-rules/core-rules/#Invulnerable-Saves">invulnerable saving throw</a> cannot be made. Attacks made with this weapon wound INFANTRY units on a 2+.|
000001063|1|Exitus rifle|72"|Heavy 1|5|-3|D3|When resolving an attack made with this weapon, an <a href="/wh40k9ed/the-rules/core-rules/#Invulnerable-Saves">invulnerable saving throw</a> cannot be made. Attacks made with this weapon wound INFANTRY units on a 2+.|
000001064|1|Melta bombs|4"|Grenade 1|8|-4|D6|You can re-roll <a href="/wh40k9ed/the-rules/core-rules/#2.-Wound-Roll">wound rolls</a> for attacks made with this weapon that target VEHICLE units.|
000001065|1|Neural shredder|9"|Assault 1|*|*|*|When resolving an attack with this weapon, if a hit is scored, do not make a <a href="/wh40k9ed/the-rules/core-rules/#2.-Wound-Roll">wound roll</a>: instead roll 3D6; if the result is equal to or greater than the target unit’s highest Leadership characteristic, it suffers D3 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wounds</a>.|
000001066|1|Psyk-out grenades|6"|Grenade D3|2|0|1|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>. When resolving an attack made with this weapon against a <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">PSYKER</a> or DAEMON unit, a <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a> of 6+ inflicts 1 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wound</a> on the target and the attack sequence ends.|
000001067|1|Neuro-gauntlet|Melee|Melee|+1|-1|1|You can re-roll <a href="/wh40k9ed/the-rules/core-rules/#2.-Wound-Roll">wound rolls</a> for attacks made with this weapon.|
000001068|1|Phase sword|Melee|Melee|User|-3|2|When resolving an attack made with this weapon, an <a href="/wh40k9ed/the-rules/core-rules/#Invulnerable-Saves">invulnerable saving throw</a> cannot be made.|
000001069|1|Poison blades|Melee|Melee|2|-1|1|When the bearer fights, it makes 1 additional attack with this weapon. Attacks made with this weapon wound on a 3+ unless the target is a VEHICLE unit.|
000001070|1|Power sword|Melee|Melee|+1|-3|1||
000001071|1|Bolt pistol|12"|Pistol 1|4|0|1||
000001072|1|Boltgun|24"|Rapid Fire 1|4|0|1||
000001073|1|Boltgun|24"|Rapid Fire 1|4|0|1||
000001073|2|Flamer|12"|Assault D6|4|0|1|Each time an attack is made with this weapon profile, that attack automatically hits the target.|
000001074|1|Boltgun|24"|Rapid Fire 1|4|0|1||
000001074|2|Meltagun|12"|Assault 1|8|-4|D6|Each time an attack made with this weapon profile targets a unit within half range, that attack has a Damage characteristic of D6+2.|
000001075|1|Boltgun|24"|Rapid Fire 1|4|0|1||
000001075|2|Plasma gun (standard)|24"|Rapid Fire 1|7|-3|1||
000001075|3|Plasma gun (supercharge)|24"|Rapid Fire 1|8|-3|2|If any unmodified <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit rolls</a> of 1 are made for attacks with this weapon profile, the bearer is destroyed after shooting with this weapon.|
000001076|1|Boltgun|24"|Rapid Fire 1|4|0|1||
000001076|2|Condemnor stake|24"|Assault 1|4|-1|2|Each time an attack made with this weapon profile is allocated to a <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE"><span class="kwb">PSYKER</span></a> model, that model’s unit suffers D3 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wounds</a> in addition to the normal damage.|
000001078|1|Flamer|12"|Assault D6|4|0|1|Each time an attack is made with this weapon, that attack automatically hits the target.|
000001079|1|Frag grenade|6"|Grenade D6|3|0|1|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>|
000001080|1|Hot-shot lasgun|18"|Rapid Fire 1|3|-2|1||
000001081|1|Incinerator|8"|Assault D6|6|-1|1|This weapon automatically hits its target.|
000001082|1|Inferno pistol|6"|Pistol 1|8|-4|D6|Each time an attack made with this weapon targets a unit within half range, that attack has a Damage characteristic of D6+2.|
000001083|1|Laspistol|12"|Pistol 1|3|0|1||
000001084|1|Krak grenade|6"|Grenade 1|6|-1|D3||
000001085|1|Master-crafted boltgun|24"|Rapid Fire 1|4|-1|2||
000001085|2|Condemnor stake|24"|Assault 1|4|-1|2|Each time an attack made with this weapon profile is allocated to a <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE"><span class="kwb">PSYKER</span></a> model, that model’s unit suffers D3 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wounds</a> in addition to the normal damage.|
000001086|1|Master-crafted multi-melta|30"|Heavy 2|8|-4|D6|Each time an attack made with this weapon targets a unit within half range, that attack has a Damage characteristic of D6+2.|
000001087|1|Meltagun|12"|Assault 1|8|-4|D6|Each time an attack made with this weapon targets a unit within half range, that attack has a Damage characteristic of D6+2.|
000001088|1|Needle pistol|12"|Pistol 1|1|0|1|A needle pistol always wounds on a 2+ unless the target model is a VEHICLE.|
000001089|1|Standard|24"|Rapid Fire 1|7|-3|1||
000001089|2|Supercharge|24"|Rapid Fire 1|8|-3|2|If any unmodified <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit rolls</a> of 1 are made for attacks with this weapon profile, the bearer is destroyed after shooting with this weapon.|
000001090|1|Standard|12"|Pistol 1|7|-3|1||
000001090|2|Supercharge|12"|Pistol 1|8|-3|2|If any unmodified <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit rolls</a> of 1 are made for attacks with this weapon profile, the bearer is destroyed after shooting with this weapon.|
000001091|1|Psyber-eagle|24"|Assault D6|4|0|1||
000001092|1|Psycannon|24"|Heavy 4|7|-1|1||
000001093|1|Psyk-out grenades|6"|Grenade D3|2|0|1|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>. When resolving an attack made with this weapon against a <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE"><span class="kwb">PSYKER</span></a> or <span class="kwb">DAEMON</span> unit, on a <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a> of 6+ the target suffers 1 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wound</a> and the attack sequence ends.|
000001094|1|Storm bolter|24"|Rapid Fire 2|4|0|1||
000001095|1|Unholy gaze|12"|Assault 1|8|-1|1|When resolving an attack made with this weapon, on a <a href="/wh40k9ed/the-rules/core-rules/#2.-Wound-Roll">wound roll</a> of 6+ this weapon has a Damage characteristic of 3 for that attack.|
000001096|1|Chainsword|Melee|Melee|User|0|1|When the bearer fights, it makes 1 additional attack with this weapon.|
000001097|1|Force axe|Melee|Melee|+2|-2|D3||
000001098|1|Force stave|Melee|Melee|+3|-1|D3||
000001099|1|Force sword|Melee|Melee|+1|-3|D3||
000001100|1|Master-crafted Nemesis Daemon hammer|Melee|Melee|x2|-3|3||
000001101|1|Master-crafted power sword|Melee|Melee|+1|-3|2||
000001102|1|Nemesis daemon hammer|Melee|Melee|x2|-2|3|When resolving an attack made with this weapon, subtract 1 from the <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a>.|
000001103|1|Null rod|Melee|Melee|User|-2|1|When resolving an attack made with this weapon against a <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">PSYKER</a> unit, this weapon has a Damage characteristic of D3 for that attack.|
000001104|1|Power fist|Melee|Melee|x2|-3|2|When resolving an attack made with this weapon, subtract 1 from the <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a>.|
000001105|1|Power maul|Melee|Melee|+3|-1|1||
000001106|1|Power sword|Melee|Melee|+1|-3|1||
000001107|1|Throne of Judgement’s stomping feet|Melee|Melee|User|-1|2|When the bearer fights, it makes 2D3 additional attacks with this weapon.|
000001108|1|Thunder hammer|Melee|Melee|x2|-2|3|Each time an attack is made with this weapon, subtract 1 from that attack’s <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a>.|
000001109|1|Warp grasp|Melee|Melee|User|-3|1||
000001110|1|Combi-bolter|24"|Rapid Fire 2|4|0|1||
000001111|1|Guardian spear (shooting)|24"|Rapid Fire 1|4|-1|2||
000001112|1|Guardian spear (melee)|Melee|Melee|+2|-3|2||
000001113|1|Hunter-killer missile|48"|Heavy 1|10|-2|D6|The bearer can only shoot with each hunter-killer missile it is equipped with once per battle.|
000001114|1|Kheres-pattern assault cannon|24"|Heavy 6|7|-1|1||
000001115|1|Multi-melta|24"|Heavy 2|8|-4|D6|Each time an attack made with this weapon targets a unit within half range, that attack has a Damage characteristic of D6+2.|
000001116|1|Sentinel blade (shooting)|12"|Pistol 2|4|-1|2||
000001117|1|Sentinel blade (melee)|Melee|Melee|+1|-3|2||
000001118|1|Storm bolter|24"|Rapid Fire 2|4|0|1||
000001119|1|Twin heavy bolter|36"|Heavy 6|5|-1|2||
000001120|1|Twin lascannon|48"|Heavy 2|9|-3|D6||
000001121|1|Dreadnought combat weapon|Melee|Melee|x2|-3|3||
000001129|1|Force stave|Melee|Melee|+3|-1|D3||
000001131|1|Telepathica stave|Melee|Melee|+1|0|D3||
000001132|1|Wyrdvane stave|Melee|Melee|+1|0|1||
000001133|1|The Ardent Blade (shooting)|12"|Assault D6|6|-2|1|Each time an attack is made with this weapon, that attack automatically hits the target.|
000001134|1|Autogun|24"|Rapid Fire 1|3|0|1||
000001135|1|Bolt pistol|12"|Pistol 1|4|0|1||
000001136|1|Boltgun|24"|Rapid Fire 1|4|0|1||
000001137|1|Boltgun|24"|Rapid Fire 1|4|0|1||
000001137|2|Flamer|12"|Assault D6|4|0|1|Each time an attack is made with this weapon profile, that attack automatically hits the target.|
000001138|1|Boltgun|24"|Rapid Fire 1|4|0|1||
000001138|2|Meltagun|12"|Assault 1|8|-4|D6|Each time an attack made with this weapon profile targets a unit within half range, that attack has a Damage characteristic of D6+2.|
000001139|1|Boltgun|24"|Rapid Fire 1|4|0|1||
000001139|2|Plasma gun (standard)|24"|Rapid Fire 1|7|-3|1||
000001139|3|Plasma gun (supercharge)|24"|Rapid Fire 1|8|-3|2|If any unmodified <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit rolls</a> of 1 are made for attacks with this weapon profile, the bearer is destroyed after shooting with this weapon.|
000001140|1|Boltgun|24"|Rapid Fire 1|4|0|1||
000001140|2|Condemnor stake|24"|Assault 1|4|-1|2|Each time an attack made with this weapon profile is allocated to a <span class="kwb">PSYKER</span> model, that model’s unit suffers D3 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wounds</a> in addition to the normal damage.|
000001141|1|Exorcist missile launcher|48"|Heavy 3D3|8|-2|D6||
000001143|1|Frag grenades|6"|Grenade D6|3|0|1|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>|
000001145|1|Heavy bolter|36"|Heavy 3|5|-1|2||
000001147|1|Hunter-killer missile|48"|Heavy 1|10|-2|D6|The bearer can only shoot with each hunter-killer missile it is equipped with once per battle.|
000001148|1|Immolation flamers|18"|Heavy 2D6|6|-1|1|Each time an attack is made with this weapon, that attack automatically hits the target.|
000001149|1|Inferno pistol|6"|Pistol 1|8|-4|D6|Each time an attack made with this weapon targets a unit within half range, that attack has a Damage characteristic of D6+2.|
000001150|1|Krak grenades|6"|Grenade 1|6|-1|D3||
000001151|1|Laspistol|12"|Pistol 1|3|0|1||
000001152|1|Meltagun|12"|Assault 1|8|-4|D6|Each time an attack made with this weapon targets a unit within half range, that attack has a Damage characteristic of D6+2.|
000001153|1|Standard|24"|Rapid Fire 1|7|-3|1||
000001153|2|Supercharge|24"|Rapid Fire 1|8|-3|2|If any unmodified <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit rolls</a> of 1 are made for attacks with this weapon profile, the bearer is destroyed after shooting with this weapon.|
000001154|1|Standard|12"|Pistol 1|7|-3|1||
000001154|2|Supercharge|12"|Pistol 1|8|-3|2|If any unmodified <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit rolls</a> of 1 are made for attacks with this weapon profile, the bearer is destroyed after shooting with this weapon.|
000001155|1|The Redeemer|24"|Assault 2|4|-1|1|When resolving an attack made with this weapon, on a wound roll of 6+, this weapon has a Damage characteristic of 2 for that attack.|
000001157|1|Storm bolter|24"|Rapid Fire 2|4|0|1||
000001158|1|Twin heavy bolter|36"|Heavy 6|5|-1|2||
000001159|1|Twin multi-melta|24"|Heavy 4|8|-4|D6|Each time an attack made with this weapon targets a unit within half range, that attack has a damage characteristic of D6+2.|
000001160|1|Arco-flails|Melee|Melee|+1|-1|1|Each time an attack is made with this weapon, make 2 <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit rolls</a> instead of 1.|
000001161|1|The Ardent Blade (melee)|Melee|Melee|+4|-4|2|Each time an attack is made with this weapon, on an unmodified <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a> of 6, the target suffers 2 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wounds</a> and the attack sequence ends.|
000001162|1|Chainsword|Melee|Melee|User|0|1|Each time the bearer fights, it makes 1 additional attack with this weapon.|
000001163|1|Chirurgeon’s tools|Melee|Melee|User|-1|1||
000001164|1|Death Cult power blades|Melee|Melee|User|-3|1||
000001165|1|Dialogus staff|Melee|Melee|+1|0|1||
000001166|1|Eviscerator|Melee|Melee|x2|-4|D3|When resolving an attack made with this weapon, subtract 1 from the <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a>.|
000001167|1|Neural whips|Melee|Melee|User|-2|1|Each time an attack is made with this weapon against a unit (excluding <span class="kwb">VEHICLE</span> units), if no model in that unit has a Leadership characteristic of 8 or more, add 1 to that attack’s <a href="/wh40k9ed/the-rules/core-rules/#2.-Wound-Roll">wound roll</a>.|
000001168|1|Penitent buzz-blade|Melee|Melee|+3|-4|2||
000001169|1|Penitent eviscerator|Melee|Melee|x2|-3|2|Each time an attack is made with this weapon, subtract 1 from that attack’s <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a>.|
000001170|1|Power axe|Melee|Melee|+2|-2|1||
000001171|1|Power maul|Melee|Melee|+3|-1|1||
000001172|1|Power sword|Melee|Melee|+1|-3|1||
000001173|1|Multi-melta|24"|Heavy 2|8|-4|D6|Each time an attack made with this weapon targets a unit within half range, that attack has a Damage characteristic of D6+2.|
000001174|1|Macro shell|72"|Heavy D6|14|-3|D6|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>. When resolving an attack made with this weapon, a damage roll of 1 or 2 counts as 3 instead.|
000001174|2|Quake shell|180"|Heavy 2D6|9|-2|D3|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>|
000001175|1|Battle cannon|72"|Heavy D6|8|-2|D3|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>|
000001176|1|Heavy bolter|36"|Heavy 3|5|-1|2||
000001177|1|Icarus lascannon|96"|Heavy 1|9|-3|D6|Each time an attack is made with this weapon against an <a href="/wh40k9ed/the-rules/core-rules/#Aircraft"><span class="kwb">AIRCRAFT</span></a> unit, add 1 to that attack’s <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a>.|
000001178|1|Plasma obliterator|72"|Heavy 2D6|8|-3|2|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>. For each <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a> of 1 made for attacks with this weapon, the bearer suffers 1 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wound</a> after shooting with this weapon.|
000001179|1|Punisher gatling cannon|24"|Heavy 20|5|0|1||
000001180|1|Quad gun|48"|Heavy 8|7|-1|1|Each time an attack is made with this weapon against an <a href="/wh40k9ed/the-rules/core-rules/#Aircraft"><span class="kwb">AIRCRAFT</span></a> unit, add 1 to that attack’s <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a>.|
000001181|1|Quad Icarus lascannon|96"|Heavy 4|9|-3|D6|When resolving an attack made with this weapon, add 1 to the <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a> if the target can <a href="/wh40k9ed/the-rules/core-rules/#Flying">FLY</a>; otherwise subtract 1 from the hit roll.|
000001182|1|Vortex missile battery|180"|Heavy D6|-|-|-|<a href="/wh40k9ed/the-rules/matched-play/#Indirect-Fire-Weapons">Indirect Fire</a>. <a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>. This weapon can target units that are not visible to the bearer, even when firing in accordance with the <span class="redfont">Automated Weapons</span> ability. When resolving an attack made with this weapon, if a hit is scored the target suffers D6 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wounds</a>. If a model in the target unit loses any wounds as a result of those mortal wounds but is not destroyed, roll another D6; on a 6 that model suffers a further D6 mortal wounds.|
000001183|1|Autocannon|48"|Heavy 2|7|-1|2||
000001184|1|Autogun|24"|Rapid Fire 1|3|0|1||
000001185|1|Autopistol|12"|Pistol 1|3|0|1||
000001186|1|Baleflamer|18"|Assault 2D3|6|-2|2|Each time an attack is made with this weapon, that attack automatically hits the target.|
000001188|1|Single frequency|48"|Heavy 3|8|-3|3|<a href="/wh40k9ed/factions/chaos-space-marines/#Sonic-Weapon">Sonic Weapon</a>|
000001188|2|Varied frequency|36"|Assault 6|5|-2|1|<a href="/wh40k9ed/factions/chaos-space-marines/#Sonic-Weapon">Sonic Weapon</a>|
000001191|1|Bolt pistol|12"|Pistol 1|4|0|1||
000001192|1|Boltgun|24"|Rapid Fire 1|4|0|1||
000001193|1|Combi-bolter|24"|Rapid Fire 2|4|0|1||
000001194|1|Boltgun|24"|Rapid Fire 1|4|0|1||
000001194|2|Flamer|12"|Assault D6|4|0|1|Each time an attack is made with this weapon profile, that attack automatically hits the target.|
000001195|1|Boltgun|24"|Rapid Fire 1|4|0|1||
000001195|2|Meltagun|12"|Assault 1|8|-4|D6|Each time an attack made with this weapon profile targets a unit within half range, that attack has a Damage characteristic of D6+2.|
000001196|1|Boltgun|24"|Rapid Fire 1|4|0|1||
000001196|2|Plasma gun (standard)|24"|Rapid Fire 1|7|-3|1||
000001196|3|Plasma gun (supercharge)|24"|Rapid Fire 1|8|-3|2|If any unmodified <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit rolls</a> of 1 are made for attacks with this weapon profile, the bearer is destroyed after shooting with this weapon.|
000001197|1|Cypher’s bolt pistol|18"|Pistol 6|4|-1|1||
000001198|1|Cypher’s plasma pistol|12"|Pistol 3|8|-3|2||
000001199|1|Daemongore cannon|18"|Heavy D6|10|-4|D3+3|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>|
000001200|1|Demolisher siege cannon|24"|Heavy D3+3|10|-4|D6|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>|
000001202|1|Doom siren|12"|Assault D6|5|-3|1|<a href="/wh40k9ed/factions/chaos-space-marines/#Sonic-Weapon">Sonic Weapon</a>. Each time an attack is made with this weapon, that attack automatically hits the target.|
000001203|1|Ectoplasma cannon|36"|Heavy D3|7|-3|3|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>|
000001204|1|Flamer|12"|Assault D6|4|0|1|Each time an attack is made with this weapon, that attack automatically hits the target.|
000001205|1|Warp hail|24"|Heavy D6+9|5|-1|1||
000001205|2|Ruinous salvo|24"|Heavy D3+3|7|-2|2||
000001205|3|Focused malice|24"|Heavy D3|9|-3|4||
000001206|1|Frag grenade|6"|Grenade D6|3|0|1|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>|
000001207|1|Gorestorm cannon|24"|Heavy 3D3|9|-2|3|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>|
000001208|1|Hades autocannon|36"|Heavy 4|8|-2|2||
000001209|1|Hades gatling cannon|48"|Heavy 12|8|-3|2||
000001210|1|Havoc launcher|48"|Heavy D6|5|0|1|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>|
000001211|1|Heavy bolter|36"|Heavy 3|5|-1|2||
000001212|1|Heavy flamer|12"|Heavy D6|5|-1|1|Each time an attack is made with this weapon, that attack automatically hits the target.|
000001213|1|Heavy stubber|36"|Heavy 3|4|0|1||
000001214|1|Heavy warpflamer|12"|Heavy D6|5|-2|1|Each time an attack is made with this weapon, that attack automatically hits the target.|
000001215|1|Helbrute plasma cannon|36"|Heavy D3|8|-3|3|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>. Each time an unmodified <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a> of 1 is made for an attack with this weapon, the bearer suffers 1 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wound</a> after shooting with this weapon.|
000001216|1|Hellfyre missile rack|36"|Heavy 2|8|-2|D3||
000001217|1|Ichor cannon|48"|Heavy D6+3|7|-3|2|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>|
000001221|1|Khârn’s plasma pistol|12"|Pistol 1|8|-3|2|Each time an unmodified <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a> of 1 is made for an attack with this weapon, the bearer suffers 1 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wound</a> after shooting with this weapon.|
000001222|1|Krak grenades|6"|Grenade 1|6|-1|D3||
000001223|1|Lascannon|48"|Heavy 1|9|-3|D6||
000001225|1|Magma cutter|6"|Assault 1|8|-4|D6+2||
000001226|1|Meltagun|12"|Assault 1|8|-4|D6|Each time an attack made with this weapon targets a unit within half range, that attack has a Damage characteristic of D6+2.|
000001227|1|Frag missile|48"|Heavy D6|4|0|1|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>|
000001227|2|Krak missile|48"|Heavy 1|8|-2|D6||
000001228|1|Multi-melta|24"|Heavy 2|8|-4|D6|Each time an attack made with this weapon targets a unit within half range, that attack has a Damage characteristic of D6+2.|
000001230|1|Standard|24"|Rapid Fire 1|7|-3|1||
000001230|2|Supercharge|24"|Rapid Fire 1|8|-3|2|If any unmodified <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit rolls</a> of 1 are made for attacks with this weapon profile, the bearer is destroyed after shooting with this weapon.|
000001231|1|Standard|12"|Pistol 1|7|-3|1||
000001231|2|Supercharge|12"|Pistol 1|8|-3|2|If any unmodified <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit rolls</a> of 1 are made for attacks with this weapon profile, the bearer is destroyed after shooting with this weapon.|
000001232|1|Predator autocannon|48"|Heavy 2D3|7|-1|3||
000001233|1|Reaper autocannon|36"|Heavy 4|7|-2|1||
000001235|1|Skullhurler|60"|Heavy 2D6|10|-3|3|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>|
000001236|1|Sonic blaster|24"|Assault 3|4|-1|1|<a href="/wh40k9ed/factions/chaos-space-marines/#Sonic-Weapon">Sonic Weapon</a>|
000001238|1|Talon of Horus (shooting)|24"|Assault 4|5|-1|2||
000001239|1|Twin heavy bolter|36"|Heavy 6|5|-1|2||
000001240|1|Twin heavy flamer|12"|Heavy 2D6|5|-1|1|Each time an attack is made with this weapon, that attack automatically hits the target.|
000001241|1|Twin lascannon|48"|Heavy 2|9|-3|D6||
000001242|1|Tyrant’s Claw (shooting)|12"|Assault D6|5|-1|1|Each time an attack is made with this weapon, that attack automatically hits the target.|
000001246|1|Xyclos Needler|18"|Pistol 3|2|-2|2|Each time an attack is made with this weapon against a unit (excluding <span class="kwb">VEHICLE</span> or <span class="kwb">TITANIC</span> units), an unmodified <a href="/wh40k9ed/the-rules/core-rules/#2.-Wound-Roll">wound roll</a> of 2+ is always successful.|
000001247|1|Black Staff of Ahriman|Melee|Melee|+3|-1|3||
000001248|1|The Blade of Magnus|Melee|Melee|x2|-4|3|Each time after the bearer has fought, select one enemy model that lost any wounds as a result of attacks made with this weapon but was not destroyed. That model’s unit suffers D3 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wounds</a>.|
000001249|1|Brutal assault weapon|Melee|Melee|User|0|1|Each time the bearer fights, it makes 1 additional attack with this weapon.|
000001250|1|Chainaxe|Melee|Melee|+1|-1|1||
000001251|1|Chainfist|Melee|Melee|x2|-4|D3|Each time an attack is made with this weapon, subtract 1 from that attack’s <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a>, and if that attack is allocated to a <span class="kwb">VEHICLE</span> model, that attack has a Damage characteristic of 3.|
000001252|1|Astartes chainsword|Melee|Melee|User|-1|1|Each time the bearer fights, it makes 1 additional attack with this weapon.|
000001256|1|Daemonic axe|Melee|Melee|+2|-2|3||
000001257|1|Defiler claws|Melee|Melee|x2|-3|D6||
000001258|1|Defiler scourge|Melee|Melee|+4|-2|2|Each time the bearer fights, it makes 3 additional attacks with this weapon.|
000001259|1|Drach’nyen|Melee|Melee|+3|-4|3|Each time an attack is made with this weapon, on an unmodified <a href="/wh40k9ed/the-rules/core-rules/#2.-Wound-Roll">wound roll</a> of 6, the target suffers D3 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wounds</a> in addition to any normal damage.|
000001261|1|Force axe|Melee|Melee|+2|-2|D3||
000001262|1|Force stave|Melee|Melee|+3|-1|D3||
000001263|1|Force sword|Melee|Melee|+1|-3|D3||
000001264|1|Gorechild|Melee|Melee|User|-4|2||
000001265|1|Smash|Melee|Melee|x2|-4|6||
000001265|2|Slash|Melee|Melee|User|-3|2|Each time an attack is made with this weapon profile, make 3 <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit rolls</a> instead of 1.|
000001266|1|Helbrute fist|Melee|Melee|x2|-3|3|Each time the bearer fights, if it is equipped with 2 Helbrute fists, it makes 1 additional attack with 1 of those weapons.|
000001267|1|Helbrute hammer|Melee|Melee|x2|-4|D6|Each time an attack is made with this weapon, subtract 1 from that attack’s <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a>.|
000001268|1|Heldrake claws|Melee|Melee|User|-2|2|Each time an attack made with this weapon is allocated to an <a href="/wh40k9ed/the-rules/core-rules/#Aircraft"><span class="kwb">AIRCRAFT</span></a> model, that attack has a Damage characteristic of 4.|
000001270|1|Hideous mutations|Melee|Melee|User|-2|2||
000001272|1|Improvised weapon|Melee|Melee|User|0|1||
