faction_id|name|type|cp_cost|legend|source_id|description|id|
AE|WRATH OF THE DEAD|Craftworlds Stratagem|1|With cold and unforgiving fury, these wraith constructs carve a path of devastation through the enemy.|000000051|Use this Stratagem at the start of the <a href="/wh40k9ed/the-rules/core-rules/#FIGHT-PHASE">Fight phase</a>. Pick a WRAITH HOST <span class="tooltip00157" data-tooltip-content="#tooltip_content00157" data-tooltip-anchor="#tooltip_content00157"><span class="kwb">WRAITH</span> <span class="kwb">CONSTRUCT</span></span> unit from your army. Add 1 to the Attacks characteristic of models in that unit until the end of that phase.|000003212002|
AE|SPIRIT SHIELD|Craftworlds Stratagem|2|Diverting the defensive properties of their rune armour, this Spiritseer shrouds their precious wraith constructs from harm.|000000051|Use this Stratagem at the end of your <a href="/wh40k9ed/the-rules/core-rules/#MOVEMENT-PHASE">Movement phase</a>. Pick a WRAITH HOST <span class="tooltip00157" data-tooltip-content="#tooltip_content00157" data-tooltip-anchor="#tooltip_content00157"><span class="kwb">WRAITH</span> <span class="kwb">CONSTRUCT</span></span> unit from your army that is within 6" of a friendly WRAITH HOST <span class="tooltip01260" data-tooltip-content="#tooltip_content01260" data-tooltip-anchor="#tooltip_content01260"><span class="kwb">SPIRITSEER</span></span>. Until the start of your next turn, that unit gains a 4+ <a href="/wh40k9ed/the-rules/core-rules/#Invulnerable-Saves">invulnerable save</a> but the SPIRITSEER loses the 4+ invulnerable save granted by its <span class="redfont">Rune Armour</span>.|000003212003|
AE|THE SILKEN KNIFE|Harlequins (Dark) – Strategic Ploy Stratagem|1|Masques led by Players of the Dark slip from the shadows into the heart of the foe with barely a whisper. Before the enemy are aware they are under attack, their bodies lie strewn as a gruesome tableau.||Use this Stratagem at the start of the <a href="/wh40k9ed/the-rules/core-rules/#CHARGE-PHASE">Charge phase</a>. Select one enemy unit. Until the end of the phase, each time that enemy unit is selected as the target of a charge by a <span class="tooltip00715" data-tooltip-content="#tooltip_content00715" data-tooltip-anchor="#tooltip_content00715"><span class="kwb">DARK</span></span> unit, that enemy unit cannot fire <a href="/wh40k9ed/the-rules/core-rules/#Overwatch">Overwatch</a> or <a href="/wh40k9ed/the-rules/core-rules/#Defensible">Set to Defend</a>.|000006860002|
AE|CAPRICIOUS REFLECTIONS|Harlequins (Light) – Strategic Ploy Stratagem|1|To their foes, Players in masques led by the Light resemble nothing more than dazzling luminescence and colour.||Use this Stratagem in your opponent’s <a href="/wh40k9ed/the-rules/core-rules/#CHARGE-PHASE">Charge phase</a>, when a <span class="tooltip01261" data-tooltip-content="#tooltip_content01261" data-tooltip-anchor="#tooltip_content01261"><span class="kwb">LIGHT</span></span> unit from your army is selected as a target of a charge. If that unit is not within <a href="/wh40k9ed/the-rules/core-rules/#Engagement-Range">Engagement Range</a> of any enemy units, it can make a <a href="/wh40k9ed/the-rules/core-rules/#Normal-Move">Normal Move</a> of up to 6". Until the end of the phase, that unit cannot fire <a href="/wh40k9ed/the-rules/core-rules/#Overwatch">Overwatch</a> or <a href="/wh40k9ed/the-rules/core-rules/#Defensible">Set to Defend</a>. Your opponent can then select new targets for that charge.|000006858002|
AE|MALICIOUS FRENZY|Harlequins (Twilight) – Battle Tactic Stratagem|1|Laughing like lunatics, Troupes led by Players of the Twilight channel their hatred and hysteria into a burst of martial destruction.||Use this Stratagem when a <span class="tooltip01262" data-tooltip-content="#tooltip_content01262" data-tooltip-anchor="#tooltip_content01262"><span class="kwb">TWILIGHT</span></span> unit from your army is selected to fight. Until those attacks are resolved, each time a model in that unit makes an attack, an unmodified <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a> of 6 automatically wounds the target.|000006863002|
AE|WINDRIDER HOST|Specialist Detachment Stratagem|1|The Windrider Host is the fury of the craftworld carried upon the storm. The speed and cunning of this airborne formation mirrors that of the Cosmic Serpent itself.|000000051|Use this Stratagem when choosing your army. Pick a <a href="/wh40k9ed/factions/aeldari/#Asuryani-Detachment-Rules">Craftworld Detachment</a> from your army to be a Windrider Host Specialist Detachment. <span class="tooltip01263" data-tooltip-content="#tooltip_content01263" data-tooltip-anchor="#tooltip_content01263"><span class="kwb">AUTARCH</span> <span class="kwb">SKYRUNNERS</span></span>, <span class="tooltip01259" data-tooltip-content="#tooltip_content01259" data-tooltip-anchor="#tooltip_content01259"><span class="kwb">FARSEER</span> <span class="kwb">SKYRUNNERS</span></span>, <span class="tooltip" title="Keyword does not appear in that faction."><s class="kwbs">WARLOCK SKYRUNNERS</s></span>, <span class="tooltip" title="Keyword does not appear in that faction."><s class="kwbs">WARLOCK SKYRUNNER CONCLAVES</s></span>, <span class="tooltip01264" data-tooltip-content="#tooltip_content01264" data-tooltip-anchor="#tooltip_content01264"><span class="kwb">WINDRIDERS</span></span> and <span class="tooltip01265" data-tooltip-content="#tooltip_content01265" data-tooltip-anchor="#tooltip_content01265"><span class="kwb">VYPERS</span></span> in that Detachment gain the WINDRIDER HOST keyword.|000003208002|
AE|WRAITH HOST|Specialist Detachment Stratagem|1|Guided by Spiritseers, the wraith hosts of the craftworlds are the noble houses of Aeldari myth given life once more.|000000051|Use this Stratagem when choosing your army. Pick a <a href="/wh40k9ed/factions/aeldari/#Asuryani-Detachment-Rules">Craftworlds Detachment</a> from your army to be a Wraith Host Specialist Detachment. <span class="tooltip01260" data-tooltip-content="#tooltip_content01260" data-tooltip-anchor="#tooltip_content01260"><span class="kwb">SPIRITSEERS</span></span> and <span class="tooltip00157" data-tooltip-content="#tooltip_content00157" data-tooltip-anchor="#tooltip_content00157"><span class="kwb">WRAITH</span> <span class="kwb">CONSTRUCTS</span></span> in that Detachment gain the WRAITH HOST keyword.|000003211002|
AE|INEVITABLE FATE|Ynnari – Battle Tactic Stratagem|1|Knowing the boons they will gain from the death of their foes, the Ynnari gladly wipe out any who stand against them.||Use this Stratagem when a <span class="tooltip00721" data-tooltip-content="#tooltip_content00721" data-tooltip-anchor="#tooltip_content00721"><span class="kwb">YNNARI</span></span> unit from your army is selected to shoot or fight. Until the end of the phase, each time a model in that unit makes an attack that targets a unit that was below <a href="/wh40k9ed/the-rules/core-rules/#Starting-Strength-Half-strength-and-Destroyed-Units">Half-strength</a> when that model’s unit was selected to shoot or fight, add 1 to that attack’s <a href="/wh40k9ed/the-rules/core-rules/#2.-Wound-Roll">wound roll</a>.|000006884002|
AM|GIFTS FROM THE MECHANICUS|133rd Lambdan Lions Stratagem|1|Many squads of the 133rd Lambdan Lions have been gifted with enhanced power packs for their weapons.|000000116|Use this Stratagem in your <a href="/wh40k9ed/the-rules/core-rules/#SHOOTING-PHASE">Shooting phase</a>, when a <span class="tooltip00653" data-tooltip-content="#tooltip_content00653" data-tooltip-anchor="#tooltip_content00653"><span class="kwb">133RD</span> <span class="kwb">LAMBDAN</span> <span class="kwb">LIONS</span></span> unit from your army is chosen to shoot with. Until the end of that phase, when resolving an attack made with a hot-shot lasgun, hot-shot laspistol or hot-shot volley gun by a model in that unit, an unmodified <a href="/wh40k9ed/the-rules/core-rules/#2.-Wound-Roll">wound roll</a> of 6 inflicts 1 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wound</a> on the target and the attack sequence ends.|000004083013|
AM|FULL CHARGE|32nd Thetoid Eagles Stratagem|1|Mounted in rapid Taurox Primes, the 32nd Thetoid Eagles unleash hell upon the enemy at close range.|000000116|Use this Stratagem in your <a href="/wh40k9ed/the-rules/core-rules/#SHOOTING-PHASE">Shooting phase</a>, when a <span class="tooltip01266" data-tooltip-content="#tooltip_content01266" data-tooltip-anchor="#tooltip_content01266"><span class="kwb">32ND</span> <span class="kwb">THETOID</span> <span class="kwb">EAGLES</span> <span class="kwb">TAUROX</span> <span class="kwb">PRIME</span></span> model from your army is chosen to shoot with. Until the end of that phase, when resolving an attack made by that model against an enemy unit within 12", you can re-roll the <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a>.|000004083014|
AM|DRILLED TO PERFECTION|43rd Iotan Dragons Stratagem|1|The 43rd stand firm, weapons readied, before their foe.|000000116|Use this Stratagem in your opponent’s <a href="/wh40k9ed/the-rules/core-rules/#CHARGE-PHASE">Charge phase</a>, before a <span class="tooltip00654" data-tooltip-content="#tooltip_content00654" data-tooltip-anchor="#tooltip_content00654"><span class="kwb">43RD</span> <span class="kwb">IOTAN</span> <span class="kwb">DRAGONS</span></span> unit from your army fires <a href="/wh40k9ed/the-rules/core-rules/#Overwatch">Overwatch</a>. Until the end of that phase, when resolving an Overwatch attack made by a model in that unit, a <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a> of 4+ scores a hit.|000004083011|
AM|ELUSIVE HUNTERS|54th Psian Jakals Stratagem|1|The 54th Psian Jakals are masters of camouflage.|000000116|Use this Stratagem in your opponent’s <a href="/wh40k9ed/the-rules/core-rules/#SHOOTING-PHASE">Shooting phase</a>, when a <span class="tooltip00651" data-tooltip-content="#tooltip_content00651" data-tooltip-anchor="#tooltip_content00651"><span class="kwb">54TH</span> <span class="kwb">PSIAN</span> <span class="kwb">JAKALS</span></span> unit from your army is chosen as the target of an attack. Until the end of that phase, when resolving an attack made with a ranged weapon by an enemy model against that unit whilst that unit is not within half range, subtract 1 from the <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a>.|000004083012|
AM|TACTICAL MISDIRECTION|55th Kappic Eagles Stratagem|1|The 55th Kappic Eagles destroy each target for a reason.|000000116|Use this Stratagem in your <a href="/wh40k9ed/the-rules/core-rules/#SHOOTING-PHASE">Shooting phase</a>, when a unit is destroyed by an attack made by a model in a <span class="tooltip00655" data-tooltip-content="#tooltip_content00655" data-tooltip-anchor="#tooltip_content00655"><span class="kwb">55TH</span> <span class="kwb">KAPPIC</span> <span class="kwb">EAGLES</span></span> unit from your army. In your opponent’s next Shooting phase, when resolving an attack made by an enemy model against a unit other than that 55th Kappic Eagles unit, subtract 1 from the <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a> if that <span class="kwb">55TH</span> <span class="kwb">KAPPIC</span> <span class="kwb">EAGLES</span> unit is the closest visible unit from your army to that model and it is not within 1" of any enemy models.|000004083010|
AM|DARING DESCENT|9th Iotan Gorgonnes Stratagem|1|Incredibly courageous, the 9th drop into the hotzone.|000000116|Use this Stratagem in your <a href="/wh40k9ed/the-rules/core-rules/#MOVEMENT-PHASE">Movement phase</a>. Select one <span class="tooltip00656" data-tooltip-content="#tooltip_content00656" data-tooltip-anchor="#tooltip_content00656"><span class="kwb">9TH</span> <span class="kwb">IOTAN</span> <span class="kwb">GORGONNES</span></span> unit from your army that was set up in a high-altitude transport. Until the end of that phase, when you set up that unit on the battlefield using the <span class="redfont">Aerial Drop</span> ability, that unit must be set up more than 5" away from any enemy models, instead of more than 9". You cannot charge with that unit this turn.|000004083015|
AM|ARMOURED FIST|Armageddon Stratagem|1|The Armageddon Steel Legions have perfected the art of the mechanised assault. Gas-masked troopers leap from their transports into the heart of the foe, lasguns blasting.||Use this Stratagem at the start of your <a href="/wh40k9ed/the-rules/core-rules/#SHOOTING-PHASE">Shooting phase</a>. Select an <span class="tooltip01267" data-tooltip-content="#tooltip_content01267" data-tooltip-anchor="#tooltip_content01267"><span class="kwb">ARMAGEDDON</span> <span class="kwb">INFANTRY</span></span> unit from your army that disembarked from an <span class="tooltip01268" data-tooltip-content="#tooltip_content01268" data-tooltip-anchor="#tooltip_content01268"><span class="kwb">ARMAGEDDON</span> <span class="kwb">TRANSPORT</span> <span class="kwb">VEHICLE</span></span> this turn. You can re-roll <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit rolls</a> of 1 for that unit until the end of the phase.|000002413025|
AM|VORTEX MISSILE|Astra Militarum Stratagem|3|Vortex Missiles are amongst the most lethal and horrific warheads available to the Astra Militarum. Upon impact, these weapons tear a hole in the very fabric of reality, draining everything within a wide blast radius into the warp.||Use this Stratagem before you fire a Deathstrike missile. You can re-roll failed <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit rolls</a> for this shot. In addition, add 1 to the roll made to determine whether other units within 6" are hit. If a model is wounded but not slain by the attack, roll another dice; on a 6, the model suffers a further D6 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wounds</a>.|000002413002|
AM|FIRE ON MY POSITION|Astra Militarum Stratagem|3|Even as they are overwhelmed, brave soldiers of the Astra Militarum may carry out one last act of vengeful defiance, calling in a creeping bombardment on their own position.||Use this Stratagem when the last model is slain from an <span class="kwb">ASTRA</span> <span class="kwb">MILITARUM</span> unit from your army equipped with a vox-caster. Before removing the model, roll a D6 for each unit within 3" of it. On a 4+ that unit suffers D3 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wounds</a>.|000002413003|
AM|CRUSH THEM!|Astra Militarum Stratagem|1|Should the enemy be too close to engage with heavy cannons, Imperial armour will simply rumble forward to crush them beneath their grinding treads.||Use this Stratagem at the start of your <a href="/wh40k9ed/the-rules/core-rules/#CHARGE-PHASE">Charge phase</a>. Select an <span class="tooltip00906" data-tooltip-content="#tooltip_content00906" data-tooltip-anchor="#tooltip_content00906"><span class="kwb">ASTRA</span> <span class="kwb">MILITARUM</span> <span class="kwb">VEHICLE</span></span> unit from your army. This unit can charge even if it <a href="/wh40k9ed/the-rules/core-rules/#Advance">Advanced</a> this turn. In the following <a href="/wh40k9ed/the-rules/core-rules/#FIGHT-PHASE">Fight phase</a>, attacks made by this unit hit on a 2+.|000002413004|
AM|AERIAL SPOTTER|Astra Militarum Stratagem|2|Aeronautica Imperialis recon planes send back pinpoint coordinates to artillery positions, allowing them to unleash a punishingly accurate salvo.||Use this Stratagem at the start of the <a href="/wh40k9ed/the-rules/core-rules/#SHOOTING-PHASE">Shooting phase</a>. Select a <span class="tooltip01269" data-tooltip-content="#tooltip_content01269" data-tooltip-anchor="#tooltip_content01269"><span class="kwb">BASILISK</span></span> or <span class="tooltip00839" data-tooltip-content="#tooltip_content00839" data-tooltip-anchor="#tooltip_content00839"><span class="kwb">WYVERN</span></span> model from your army. You can re-roll failed <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit rolls</a> for this unit in this phase.|000002413005|
AM|JURY RIGGING|Astra Militarum Stratagem|1|Imperial tank jockeys and Enginseers have devised a number of improvised mechanical techniques to get their damaged steeds back into the fight.||Use this Stratagem at the start of your turn. Select an <span class="tooltip00906" data-tooltip-content="#tooltip_content00906" data-tooltip-anchor="#tooltip_content00906"><span class="kwb">ASTRA</span> <span class="kwb">MILITARUM</span> <span class="kwb">VEHICLE</span></span> from your army. It cannot move, charge or <a href="/wh40k9ed/the-rules/core-rules/#Pile-In">pile in</a> this turn, but immediately heals 1 wound. You can only use this Stratagem once per turn.|000002413006|
AM|CONSOLIDATE SQUADS|Astra Militarum Stratagem|1|Astra Militarum officers must quickly learn to adapt in the thick of battle, forming ad hoc fire teams from the fragments of depleted infantry squads.||Use this Stratagem at the end of your <a href="/wh40k9ed/the-rules/core-rules/#MOVEMENT-PHASE">Movement phase</a>. Choose an <a href="/wh40k9ed/factions/astra-militarum/Infantry-Squad">Infantry Squad</a> from your army that is within 2" of another of your Infantry Squads from the same <a href="/wh40k9ed/factions/astra-militarum/#REGIMENT-">&lt;REGIMENT&gt;</a>. You can merge these squads into a single unit and they are treated as such for the rest of the battle.|000002413007|
AM|IMPERIAL COMMANDER’S ARMOURY|Astra Militarum Stratagem|1/3|By leveraging their considerable influence upon the Departmento Munitorum, high-ranking Imperial commanders can secure vital resources for their military campaigns.||Use this Stratagem before the battle. Your army can have one extra relic from the <a href="/wh40k9ed/factions/astra-militarum/#Heirlooms-of-Conquest">Heirlooms of Conquest</a> for 1 CP, or two extra relics for 3 CPs. All of the relics that you include must be different and be given to different <span class="tooltip01270" data-tooltip-content="#tooltip_content01270" data-tooltip-anchor="#tooltip_content01270"><span class="kwb">ASTRA</span> <span class="kwb">MILITARUM</span> <span class="kwb">CHARACTERS</span></span>. You can only use this Stratagem once per battle.|000002413008|
AM|OFFICIO PREFECTUS COMMAND TANK|Astra Militarum Stratagem|2|Many regimental Commissars prefer to bellow threats and orders from the cupola of a Leman Russ battle tank.||Use this Stratagem at the start of the first battle round, before the first turn begins. Select a <span class="tooltip01271" data-tooltip-content="#tooltip_content01271" data-tooltip-anchor="#tooltip_content01271"><span class="kwb">LEMAN</span> <span class="kwb">RUSS</span></span> from your army. All friendly <span class="kwb">ASTRA</span> <span class="kwb">MILITARUM</span> units have a Leadership characteristic of 9 (unless it would otherwise be higher) whilst they are within 6" of this vehicle.|000002413009|
AM|MOBILE COMMAND VEHICLE|Astra Militarum Stratagem|1|Command vehicles allow intrepid officers to lead from the front of the battle, racing across the lines, raising the spirits of their warriors and reacting with speed to any emerging threats.||Use this Stratagem at the start of any turn. Choose a <a href="/wh40k9ed/factions/astra-militarum/Chimera">Chimera</a> from your army. Until the end of the turn, an <span class="tooltip00499" data-tooltip-content="#tooltip_content00499" data-tooltip-anchor="#tooltip_content00499"><span class="kwb">OFFICER</span></span> from your army with the <a href="/wh40k9ed/factions/astra-militarum/#Voice-of-Command">Voice of Command</a> ability may still issue orders whilst <a href="/wh40k9ed/the-rules/core-rules/#Embark">embarked</a> within that Chimera (measuring ranges from any point on the vehicle), and is treated as being within 3" of a vox-caster.|000002413010|
AM|PRELIMINARY BOMBARDMENT|Astra Militarum Stratagem|2|An Astra Militarum assault often begins with an initial bombardment of the enemy line, softening up the foe before the mass advance of infantry and armour.||Use this Stratagem after both sides have deployed, but before the first battle round begins. Roll a dice for each enemy unit on the battlefield. On a 6, that unit suffers 1 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wound</a>. You can only use this Stratagem once per battle.|000002413011|
AM|INSPIRED TACTICS|Astra Militarum Stratagem|1|A skilled officer can turn a battle on its head, throwing the enemy into confusion and inspiring their own soldiers to acts of remarkable heroism.||Use this Stratagem after an <span class="tooltip00499" data-tooltip-content="#tooltip_content00499" data-tooltip-anchor="#tooltip_content00499"><span class="kwb">OFFICER</span></span> from your army has issued an order or tank order. That officer may immediately issue an additional order.|000002413012|
AM|DEFENSIVE GUNNERS|Astra Militarum Stratagem|1|As enemy anti-armour troops advance upon their vehicles, sponson and turret gunners unleash a devastating hail of fire.||Use this Stratagem when a <a href="/wh40k9ed/the-rules/core-rules/#CHARGE-PHASE">charge</a> is declared against one of your <span class="tooltip00906" data-tooltip-content="#tooltip_content00906" data-tooltip-anchor="#tooltip_content00906"><span class="kwb">ASTRA</span> <span class="kwb">MILITARUM</span> <span class="kwb">VEHICLE</span></span> units. When that unit fires <a href="/wh40k9ed/the-rules/core-rules/#Overwatch">Overwatch</a> this phase, they successfully hit on a roll of 5 or 6, instead of only 6.|000002413013|
AM|TAKE COVER!|Astra Militarum Stratagem|1|Sometimes the only possible response to overwhelming enemy fire is to hit the dirt and wait for the storm to pass, before springing up to unleash an answering volley.||Use this Stratagem in your opponent’s <a href="/wh40k9ed/the-rules/core-rules/#SHOOTING-PHASE">Shooting phase</a> when your opponent selects one of your <span class="tooltip00173" data-tooltip-content="#tooltip_content00173" data-tooltip-anchor="#tooltip_content00173"><span class="kwb">ASTRA</span> <span class="kwb">MILITARUM</span> <span class="kwb">INFANTRY</span></span> units as a target. You can add 1 to armour <a href="/wh40k9ed/the-rules/core-rules/#4.-Saving-Throw">saving throws</a> you make for this unit until the end of the phase.|000002413014|
AM|GRENADIERS|Astra Militarum Stratagem|1|Against packed formations of enemy infantry, a favoured tactic of Astra Militarum assault troops is to hurl an opening salvo of grenades en masse.||Use this Stratagem before an <span class="tooltip00173" data-tooltip-content="#tooltip_content00173" data-tooltip-anchor="#tooltip_content00173"><span class="kwb">ASTRA</span> <span class="kwb">MILITARUM</span> <span class="kwb">INFANTRY</span></span> unit from your army shoots or fires <a href="/wh40k9ed/the-rules/core-rules/#Overwatch">Overwatch</a>. Up to ten models in the unit that are armed with <a href="/wh40k9ed/the-rules/core-rules/#GRENADE">grenades</a> can throw a grenade this phase, instead of only one model being able to do so.|000002413015|
AM|FIGHT TO THE DEATH|Astra Militarum Stratagem|1|They may be mere mortals in a galaxy of gods and monsters, but the soldiers of the Astra Militarum stand tall in the face of obliteration, lasguns blazing.||Use this Stratagem at the start of the <a href="/wh40k9ed/the-rules/core-rules/#MORALE-PHASE">Morale phase</a>. Pick an <span class="tooltip00173" data-tooltip-content="#tooltip_content00173" data-tooltip-anchor="#tooltip_content00173"><span class="kwb">ASTRA</span> <span class="kwb">MILITARUM</span> <span class="kwb">INFANTRY</span></span> unit from your army that is required to take a <a href="/wh40k9ed/the-rules/core-rules/#Morale-Tests">Morale test</a>. You can roll a D3 for the unit, rather than a D6, when taking this test.|000002413016|
AM|GO! RECON!|Astra Militarum Stratagem|1|Scout Sentinels can sacrifice firepower for speed, darting across the battlefield in search of new threats.||Use this Stratagem at the start of your <a href="/wh40k9ed/the-rules/core-rules/#SHOOTING-PHASE">Shooting phase</a>. Select a unit of <a href="/wh40k9ed/factions/astra-militarum/Scout-Sentinels">Scout Sentinels</a> from your army. This unit can immediately move 2D6" but cannot shoot or charge this turn. This move cannot bring this model within 1" of any enemy models. This move cannot bring this unit within <a href="/wh40k9ed/the-rules/core-rules/#Engagement-Range">Engagement Range</a> of any enemy models.|000002413017|
AM|VENGEANCE FOR CADIA!|Astra Militarum Stratagem|1|Soldiers of the Astra Militarum yearn to visit destruction upon those responsible for the fall of mighty Cadia.||Use this Stratagem when you select one of your <span class="kwb">ASTRA</span> <span class="kwb">MILITARUM</span> units to shoot or fire <a href="/wh40k9ed/the-rules/core-rules/#Overwatch">Overwatch</a>. Re-roll failed hit and <a href="/wh40k9ed/the-rules/core-rules/#2.-Wound-Roll">wound rolls</a> for models in this unit that target <span class="kwb">CHAOS</span> units until the end of the phase.|000002413018|
AM|MECHANISED FIRE SUPPORT|Astra Militarum Stratagem|1|The transports of an Emperor’s Blade Assault Company lay down supporting fire to protect infantry from close quarters attacks.|000000051|Use this Stratagem in the enemy <a href="/wh40k9ed/the-rules/core-rules/#CHARGE-PHASE">Charge phase</a> after an <span class="kwb">EMPEROR’S</span> <span class="kwb">BLADE</span> <span class="kwb">INFANTRY</span> unit from your army is chosen as the target of an enemy unit’s charge. Pick an <span class="kwb">EMPEROR’S</span> <span class="kwb">BLADE</span> <span class="tooltip01272" data-tooltip-content="#tooltip_content01272" data-tooltip-anchor="#tooltip_content01272"><span class="kwb">CHIMERA</span></span> or <span class="kwb">EMPEROR’S</span> <span class="kwb">BLADE</span> <span class="tooltip01273" data-tooltip-content="#tooltip_content01273" data-tooltip-anchor="#tooltip_content01273"><span class="kwb">TAUROX</span></span> from your army within 6" of the unit being charged. The vehicle picked can fire <a href="/wh40k9ed/the-rules/core-rules/#Overwatch">Overwatch</a> at the charging unit even if it is not the target of the charge, and when doing so, will hit the enemy on <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit rolls</a> of 4+, regardless of modifiers.|000003215002|
AM|RAPID REDEPLOY|Astra Militarum Stratagem|1|The soldiers of an Emperor’s Blade Assault Company are expertly drilled in disembarking from their transport at the last moment to secure critical points on the battlefield.|000000051|Use this Stratagem at the end of your <a href="/wh40k9ed/the-rules/core-rules/#MOVEMENT-PHASE">Movement phase</a>. An <span class="kwb">EMPEROR’S</span> <span class="kwb">BLADE</span> unit embarked within an <span class="kwb">EMPEROR’S</span> <span class="kwb">BLADE</span> <span class="tooltip01272" data-tooltip-content="#tooltip_content01272" data-tooltip-anchor="#tooltip_content01272"><span class="kwb">CHIMERA</span></span> or <span class="kwb">EMPEROR’S</span> <span class="kwb">BLADE</span> <span class="tooltip01273" data-tooltip-content="#tooltip_content01273" data-tooltip-anchor="#tooltip_content01273"><span class="kwb">TAUROX</span></span> can <a href="/wh40k9ed/the-rules/core-rules/#Disembark">disembark</a>. That unit cannot move further in this phase, but can otherwise act normally for the rest of the turn. That unit counts as having moved for any rules purposes, such as shooting <a href="/wh40k9ed/the-rules/core-rules/#HEAVY">Heavy weapons</a>.|000003215003|
AM|SUPPRESSIVE FIRE|Astra Militarum Stratagem|1|Artillery rounds rain down from the sky. The shells are inaccurate, but serve to disrupt enemy infantry movement.|000000051|Use this Stratagem at the start of your <a href="/wh40k9ed/the-rules/core-rules/#SHOOTING-PHASE">Shooting phase</a>. Pick an <span class="kwb">EMPEROR’S</span> <span class="kwb">WRATH</span> <span class="kwb">VEHICLE</span> unit from your army. That unit cannot shoot this phase. Instead, it lays down suppressive fire; pick an enemy <span class="kwb">INFANTRY</span> unit that is within range of at least one of its weapons. Until the start of your next turn, that enemy unit cannot fire <a href="/wh40k9ed/the-rules/core-rules/#Overwatch">Overwatch</a> and halves its Move characteristic.|000003218002|
AM|POUNDING BARRAGE|Astra Militarum Stratagem|2|Focusing on coordinates voxed in from forward spotters, the crews of each artillery piece continue to load and fire, load and fire, filling the air with a steady rain of high explosives.|000000051|Use this Stratagem at the start of your <a href="/wh40k9ed/the-rules/core-rules/#SHOOTING-PHASE">Shooting phase</a>. Pick an <span class="kwb">EMPEROR’S</span> <span class="kwb">WRATH</span> <span class="kwb">VEHICLE</span> unit from your army. Pick one of that unit’s ranged weapons. That unit can shoot twice with that weapon this phase.|000003218003|
AM|NO QUARTER GIVEN!|Astra Militarum Stratagem|2|With fervent belief, these warriors fight till their last breath.|000000051|Use this Stratagem at the start of the <a href="/wh40k9ed/the-rules/core-rules/#FIGHT-PHASE">Fight phase</a>. Pick an <span class="kwb">EMPEROR’S</span> <span class="kwb">CONCLAVE</span> unit from your army. Until the end of that phase, when a model from that unit is slain, that model is not removed from the battlefield as normal, but can instead immediately <a href="/wh40k9ed/the-rules/core-rules/#Pile-In">pile in</a> and fight, even if it has already been chosen to fight that phase. After its attacks have been resolved, it is then removed from the battlefield.|000003221002|
AM|SANCTIMONIOUS CHARGE|Astra Militarum Stratagem|1|Singing a glorious hymn to the Emperor’s divine power, these soldiers fear not the alien or the heretic as they fix bayonets and charge into the fray.|000000051|Use this Stratagem after an <span class="kwb">EMPEROR’S</span> <span class="kwb">CONCLAVE</span> <span class="tooltip00905" data-tooltip-content="#tooltip_content00905" data-tooltip-anchor="#tooltip_content00905"><span class="kwb">MINISTORUM</span> <span class="kwb">PRIEST</span></span> makes a <a href="/wh40k9ed/the-rules/core-rules/#Charging-with-a-Unit">charge move</a>. Until the end of that phase, add 1 to <a href="/wh40k9ed/the-rules/core-rules/#Charging-with-a-Unit">charge rolls</a> for other friendly <span class="kwb">EMPEROR’S</span> <span class="kwb">CONCLAVE</span> units while they are within 12" of that <span class="kwb">MINISTORUM</span> <span class="kwb">PRIEST</span>.|000003221003|
AM|UNYIELDING ADVANCE|Astra Militarum Stratagem|1|The tank crew of this Leman Russ are experts in maintaining a steady rate of fire, even when escorting convoys or racing down highly mobile foes.|000000051|Use this Stratagem at the start of your <a href="/wh40k9ed/the-rules/core-rules/#SHOOTING-PHASE">Shooting phase</a>. Pick an <span class="kwb">EMPEROR’S</span> <span class="kwb">FIST</span> unit from your army. That unit can shoot its turret weapon twice as described in the <a href="/wh40k9ed/factions/astra-militarum/#Grinding-Advance">Grinding Advance</a> ability no matter how far it moved in the preceding <a href="/wh40k9ed/the-rules/core-rules/#MOVEMENT-PHASE">Movement phase</a>.|000003224002|
