faction_id|name|type|cp_cost|legend|source_id|description|id|
AS|FINAL REDEMPTION|Adepta Sororitas – Strategic Ploy Stratagem|1|Those bound to Engines of Redemption have only one hope of end to their torment, and they seek it out with unmatched zeal.||Use this Stratagem in the <a href="/wh40k9ed/the-rules/core-rules/#FIGHT-PHASE">Fight phase</a>, when an <span class="tooltip03287" data-tooltip-content="#tooltip_content03287" data-tooltip-anchor="#tooltip_content03287"><span class="kwb">ENGINE</span> <span class="kwb2">OF</span> <span class="kwb">REDEMPTION</span></span> unit from your army is targeted by a melee attack. Until the end of the phase, each time a model in this unit is destroyed by a melee attack, roll one D6: on a 4+, after the attacking model’s unit has finished making its attacks, it suffers D3 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wounds</a>.|000003076026|
AS|JUDGEMENT OF THE FAITHFUL|Adepta Sororitas – Strategic Ploy Stratagem|1|Even the most hopeless battle can be turned by a spark of divine inspiration.||Use this Stratagem in your <a href="/wh40k9ed/the-rules/core-rules/#MOVEMENT-PHASE">Movement phase</a>, when an <span class="tooltip00203" data-tooltip-content="#tooltip_content00203" data-tooltip-anchor="#tooltip_content00203"><span class="kwb">ADEPTA</span> <span class="kwb">SORORITAS</span> <span class="kwb">CORE</span></span> unit from your army <a href="/wh40k9ed/the-rules/core-rules/#Fall-Back">Falls Back</a>. That unit is still eligible to shoot this turn even though it Fell Back.|000003076027|
AS|RIGHTEOUS IMPACT|Adepta Sororitas – Strategic Ploy Stratagem|1|The Ecclesiarchy’s artefact engines crash into the foe with force.||Use this Stratagem in your <a href="/wh40k9ed/the-rules/core-rules/#CHARGE-PHASE">Charge phase</a>, when a <span class="tooltip03288" data-tooltip-content="#tooltip_content03288" data-tooltip-anchor="#tooltip_content03288"><span class="kwb">PARAGON</span> <span class="kwb">WARSUITS</span></span> or <span class="tooltip03287" data-tooltip-content="#tooltip_content03287" data-tooltip-anchor="#tooltip_content03287"><span class="kwb">ENGINE</span> <span class="kwb2">OF</span> <span class="kwb">REDEMPTION</span></span> unit from your army finishes a <a href="/wh40k9ed/the-rules/core-rules/#Charging-with-a-Unit">charge move</a>. Select one enemy unit within <a href="/wh40k9ed/the-rules/core-rules/#Engagement-Range">Engagement Range</a> of your unit and roll one D6 for each model in your unit that is within Engagement Range of that enemy unit. For each dice result that equals or exceeds that enemy unit’s Toughness characteristic, it suffers 1 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wound</a> (for each unmodified roll of a 6, that enemy unit instead suffers D3 mortal wounds).|000003076028|
AS|BLESSED BOLTS|Adepta Sororitas – Wargear Stratagem|1|Said to be imbued with the Emperor's divine vengeance, it takes an artificer a lifetime to produce just one of these blessed bolts.||Use this Stratagem in your <a href="/wh40k9ed/the-rules/core-rules/#SHOOTING-PHASE">Shooting phase</a>, when an <span class="tooltip00195" data-tooltip-content="#tooltip_content00195" data-tooltip-anchor="#tooltip_content00195"><span class="kwb">ADEPTA</span> <span class="kwb">SORORITAS</span></span> unit from your army is selected to shoot. Until the end of the phase, each time an attack is made with an artificer-crafted storm bolter by a model in that unit, on an unmodified <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a> of 6, the target suffers 2 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wounds</a> and the attack sequence ends (a maximum of 6 mortal wounds can be inflicted per phase via this Stratagem).|000003076029|
AS|HOLY SMOKESCREEN|Adepta Sororitas – Wargear Stratagem|1|Deploying thrice-blessed canisters of incensed smoke, the war machines of the Sisters of Battle screen themselves from the enemy.||Use this Stratagem in your opponent’s <a href="/wh40k9ed/the-rules/core-rules/#SHOOTING-PHASE">Shooting phase</a>, when an <span class="tooltip00209" data-tooltip-content="#tooltip_content00209" data-tooltip-anchor="#tooltip_content00209"><span class="kwb">ADEPTA</span> <span class="kwb">SORORITAS</span> <span class="kwb">SMOKESCREEN</span></span> unit from your army is selected as the target of an attack. Until the end of the phase, each time an attack is made against that unit, subtract 1 from that attack’s <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a>.|000003076030|
AS|HOLY TRINITY|Adepta Sororitas – Wargear Stratagem|1|With bolter, flamer and melta is the foe purged.||Use this Stratagem in your <a href="/wh40k9ed/the-rules/core-rules/#SHOOTING-PHASE">Shooting phase</a>, when an <span class="tooltip00195" data-tooltip-content="#tooltip_content00195" data-tooltip-anchor="#tooltip_content00195"><span class="kwb">ADEPTA</span> <span class="kwb">SORORITAS</span></span> unit from your army is selected to shoot. Select one eligible target for that unit that is within range of, and visible to, at least one model in that unit equipped with a <a href="/wh40k9ed/factions/adepta-sororitas/#Bolt-Weapons">bolt weapon</a>, one model in that unit equipped with a <a href="/wh40k9ed/factions/adepta-sororitas/#Flame-Weapons">flame weapon</a> and one model in that unit equipped with a <a href="/wh40k9ed/factions/adepta-sororitas/#Melta-Weapons">melta weapon</a>. Until the end of the phase, models in that unit can only make attacks that target that enemy unit, but each time such an attack is made with a bolt weapon, a flame weapon or a melta weapon, add 1 to that attack’s <a href="/wh40k9ed/the-rules/core-rules/#2.-Wound-Roll">wound roll</a>.|000003076031|
AS|INVIOLATE SHIELDWALL|Adepta Sororitas – Wargear Stratagem|1|The faithful stand firm against the worst horrors of the galaxy. Hordes of mutants and heretics crash against their shield walls before being laid low with righteous fury.||Use this Stratagem at the start of the <a href="/wh40k9ed/the-rules/core-rules/#FIGHT-PHASE">Fight phase</a>. Select one <span class="tooltip03289" data-tooltip-content="#tooltip_content03289" data-tooltip-anchor="#tooltip_content03289"><span class="kwb">CELESTIAN</span> <span class="kwb">SACRESANTS</span></span> or <span class="tooltip03290" data-tooltip-content="#tooltip_content03290" data-tooltip-anchor="#tooltip_content03290"><span class="kwb">CRUSADERS</span></span> unit from your army. Until the end of the phase, each time an attack is made against that unit, subtract 1 from that attack’s <a href="/wh40k9ed/the-rules/core-rules/#2.-Wound-Roll">wound roll</a>.|000003076032|
AS|THRICE-BLESSED HULL|Adepta Sororitas – Wargear Stratagem|1|The hallowed blessings and artefacts built into the hulls of Adepta Sororitas vehicles can cause the unholy to burst into flames.||Use this Stratagem at the start of your opponent’s <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">Psychic phase</a>. Select one <span class="tooltip00212" data-tooltip-content="#tooltip_content00212" data-tooltip-anchor="#tooltip_content00212"><span class="kwb">HALLOWED</span></span> model from your army. Until the end of the phase, that model gains the following ability: ‘<span class="redfont">Thrice-Blessed Hull (Aura)</span><b>:</b> While an enemy <span class="kwb">PSYKER</span> unit is within 12" of this model, each time a <a href="/wh40k9ed/the-rules/core-rules/#Psychic-Tests">psychic test</a> is taken for that unit and that test is failed, that <span class="kwb">PSYKER</span> unit suffers <a href="/wh40k9ed/the-rules/core-rules/#Perils-of-the-Warp">Perils of the Warp</a>.’|000003076033|
AS|VENGEANCE FOR ARMAGEDDON|Order of Our Martyred Lady – Battle Tactic Stratagem|1|The Order of Our Martyred Lady have sworn a mighty oath of vengeance following the loss of the Sanctorum of Saint Katherine and the many heroic Battle Sisters who defended it against the greenskin hordes during the Third War for Armageddon.|000000161|Use this Stratagem in the <a href="/wh40k9ed/the-rules/core-rules/#FIGHT-PHASE">Fight phase</a>, when an <span class="kwb">ORDER</span> <span class="kwb2">OF</span> <span class="kwb">OUR</span> <span class="kwb">MARTYRED</span> <span class="kwb">LADY</span> unit from your army is selected to fight. Until the end of the phase, each time a model in that unit makes a melee attack against an <span class="kwb">ORK</span> unit, you can re-roll the <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a>.|000005683002|
AS|ZEALOUS DEATH WISH|Order of Our Martyred Lady – Battle Tactic Stratagem|1|The spiritual descendants of Saint Katherine care nothing for their own survival. ~ deed, many throw themselves into insurmountable battles, coveting a martyr's fate upon the field of war.|000000161|Use this Stratagem in the <a href="/wh40k9ed/the-rules/core-rules/#FIGHT-PHASE">Fight phase</a>, when an <span class="kwb">ORDER</span> <span class="kwb2">OF</span> <span class="kwb">OUR</span> <span class="kwb">MARTYRED</span> <span class="kwb">LADY</span> unit from your army is selected to fight. Each time a model in that unit makes a melee attack against a unit that contained at least 5 more models than the attacker’s unit when it was selected to fight, add 1 to that attack's <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a>. For the purposes of this Stratagem, <span class="kwb">VEHICLE</span> models each count as 5 models.|000005683003|
AS|HONOUR THE MARTYRS|Order of Our Martyred Lady – Epic Deed Stratagem|1|When a leader of the Order of Our Martyred Lady dies in battle, those who remain only become more determined.||Use this Stratagem at the end of a phase in which an <span class="tooltip00214" data-tooltip-content="#tooltip_content00214" data-tooltip-anchor="#tooltip_content00214"><span class="kwb">ORDER</span> <span class="kwb2">OF</span> <span class="kwb">OUR</span> <span class="kwb">MARTYRED</span> <span class="kwb">LADY</span> <span class="kwb">CHARACTER</span></span> model from your army was destroyed by an enemy unit (excluding models that were destroyed and subsequently returned to the battlefield that phase due to any rules, e.g. the <a href="/wh40k9ed/factions/adepta-sororitas/#Stratagems-1">Divine Intervention</a> Stratagem). Until the end of the battle, each time an <span class="kwb">ORDER</span> <span class="kwb2">OF</span> <span class="kwb">OUR</span> <span class="kwb">MARTYRED</span> <span class="kwb">LADY</span> model makes an attack against that enemy unit, add 1 to that attack’s <a href="/wh40k9ed/the-rules/core-rules/#2.-Wound-Roll">wound roll</a>.|000003059002|
AS|PIOUS MACHINE SPIRIT|Order of Our Martyred Lady – Epic Deed Stratagem|1|The war engines fielded by the Order of Our Martyred Lady are every bit as intractable as the Battle Sisters who crew them. No matter the odds, their machine spirits will not yield.|000000161|Use this Stratagem in your <a href="/wh40k9ed/the-rules/core-rules/#COMMAND-PHASE">Command phase</a>. Select one <span class="tooltip00213" data-tooltip-content="#tooltip_content00213" data-tooltip-anchor="#tooltip_content00213"><span class="kwb">ORDER</span> <span class="kwb2">OF</span> <span class="kwb">OUR</span> <span class="kwb">MARTYRED</span> <span class="kwb">LADY</span> <span class="kwb">VEHICLE</span></span> model from your army that has a wounds characteristic of 10 or more. Until the start of your next Command phase, that model is considered to have its full wounds remaining for the purposes of determining what characteristics on its profile to use.|000005683004|
AS|EXEMPLAR OF THE ORDER|Order of Our Martyred Lady – Requisition Stratagem|1|It should come as no surprise that an Order Militant that so greatly lauds death in the Emperor's name has produced more than its share of saints.|000000161|Use this Stratagem after nominating an <span class="kwb">ORDER</span> <span class="kwb2">OF</span> <span class="kwb">OUR</span> <span class="kwb">MARTYRED</span> <span class="kwb">LADY</span> model (excluding named characters) to be your <span class="kwb">WARLORD</span>. That model gains one additional Warlord Trait; this must be from the Order of <a href="/wh40k9ed/factions/adepta-sororitas/#Our-Martyred-Lady-Warlord-Traits">Our Martyred Lady Warlord Traits</a> table. Each Warlord Trait in your army must be unique (if randomly generated, re-roll duplicate results). You can only use this Stratagem once.|000005683009|
AS|REJOICE THE FALLEN|Order of Our Martyred Lady – Strategic Ploy Stratagem|2|The death of their fellow Battle Sisters only stirs the survivors to fight harder in order to exact swift vengeance.|000000161|Use this Stratagem at the end of your opponent’s <a href="/wh40k9ed/the-rules/core-rules/#SHOOTING-PHASE">Shooting phase</a>. Select one <span class="kwb">ORDER</span> <span class="kwb2">OF</span> <span class="kwb">OUR</span> <span class="kwb">MARTYRED</span> <span class="kwb">LADY</span> unit from your army that was not below <a href="/wh40k9ed/the-rules/core-rules/#Starting-Strength-Half-strength-and-Destroyed-Units">Half-strength</a> at the start of this phase, but which is now below Half-strength. That unit can shoot as if it were your Shooting phase.|000005683005|
AS|MARTYR’S PYRE|Order of Our Martyred Lady – Strategic Ploy Stratagem|1|The enemy must perish, even if we perish with them. The enemy must burn, even if we burn with them.|000000161|Use this Stratagem in your <a href="/wh40k9ed/the-rules/core-rules/#SHOOTING-PHASE">Shooting phase</a>. Select one <span class="tooltip00215" data-tooltip-content="#tooltip_content00215" data-tooltip-anchor="#tooltip_content00215"><span class="kwb">ORDER</span> <span class="kwb2">OF</span> <span class="kwb">OUR</span> <span class="kwb">MARTYRED</span> <span class="kwb">LADY</span> <span class="kwb">INFANTRY</span></span> unit from your army that is within <a href="/wh40k9ed/the-rules/core-rules/#Engagement-Range">Engagement Range</a> of one or more enemy units. Until the end of that phase:<br><ul><li>The type of all <a href="/wh40k9ed/factions/adepta-sororitas/#Flame-Weapons">flame weapons</a> models in that unit are equipped with is changed to <a href="/wh40k9ed/the-rules/core-rules/#PISTOL">Pistol</a> (e.g. an <a href="/wh40k9ed/the-rules/core-rules/#ASSAULT">Assault D6</a> flame weapon becomes <a href="/wh40k9ed/the-rules/core-rules/#PISTOL">Pistol D6</a>).</li><li>After this unit has resolved its attacks, roll one D6 for each model in that unit that fired a flame weapon: for each roll of a 1, one of those models (of your choosing) can <a href="/wh40k9ed/the-rules/rules-appendix/#Shoot-Again">shoot again</a> with its flame weapon, but after this second shooting attack is resolved, and whether it shot or not, that model is destroyed.</li></ul>|000005683006|
AS|DEATH BEFORE DISGRACE|Order of Our Martyred Lady – Strategic Ploy Stratagem|1|When the Battle Sisters of the Order of Our Martyred Lady have a holy task set before them, they would rather die than fail in their duty.|000000161|Use this Stratagem at the start of your <a href="/wh40k9ed/the-rules/core-rules/#MOVEMENT-PHASE">Movement phase</a>. Select one <span class="tooltip00215" data-tooltip-content="#tooltip_content00215" data-tooltip-anchor="#tooltip_content00215"><span class="kwb">ORDER</span> <span class="kwb2">OF</span> <span class="kwb">OUR</span> <span class="kwb">MARTYRED</span> <span class="kwb">LADY</span> <span class="kwb">INFANTRY</span></span> or <span class="tooltip03291" data-tooltip-content="#tooltip_content03291" data-tooltip-anchor="#tooltip_content03291"><span class="kwb">ORDER</span> <span class="kwb2">OF</span> <span class="kwb">OUR</span> <span class="kwb">MARTYRED</span> <span class="kwb">LADY</span> <span class="kwb">PARAGON</span> <span class="kwb">WARSUIT</span></span> unit from your army. Until the start of your next Movement phase:<br><ul><li>That unit cannot <a href="/wh40k9ed/the-rules/core-rules/#Fall-Back">Fall Back</a>.</li><li>That unit has the <a href="/wh40k9ed/the-rules/core-rules/#Objective-Secured">Objective Secured</a> ability. If that unit already has the Objective Secured ability, then for the purposes of determining which player controls an <a href="/wh40k9ed/the-rules/core-rules/#Objective-Markers">objective marker</a>, each model in that unit counts as one additional model.</li></ul>|000005683007|
AS|A MARTYR’S DUTY|Order of Our Martyred Lady – Strategic Ploy Stratagem|1|With the Emperor watching over them, the Sisters of the Order of Our Martyred Lady summon the strength for one final act of hatred against the Emperor's foes before death claims them.|000000161|Use this Stratagem in any phase, when an <span class="tooltip00217" data-tooltip-content="#tooltip_content00217" data-tooltip-anchor="#tooltip_content00217"><span class="kwb">ORDER</span> <span class="kwb2">OF</span> <span class="kwb">OUR</span> <span class="kwb">MARTYRED</span> <span class="kwb">LADY</span> <span class="kwb">CORE</span></span> unit from your army is selected as the target of an attack. Until the end of the phase, each time a model in this unit is destroyed, roll one D6. On a 4+, do not remove the destroyed model from play; it can, after the attacking model’s unit has finished making its attacks, either shoot with one of its ranged weapons as if it were your <a href="/wh40k9ed/the-rules/core-rules/#SHOOTING-PHASE">Shooting phase</a> or make one attack with one of its melee weapons as if it were the <a href="/wh40k9ed/the-rules/core-rules/#FIGHT-PHASE">Fight phase</a>. When resolving these attacks, your model is considered to have 1 wound remaining. If the Spirit of the Martyr <a href="/wh40k9ed/factions/adepta-sororitas/#Sacred-Rites">sacred rite</a> is active for your army, or for that unit, resolve these attacks before resolving that sacred rite’s effects. After resolving these attacks, the destroyed model is then removed.|000005683008|
AS|FAITH IS OUR SHIELD|Order of the Argent Shroud – Strategic Ploy Stratagem|1|The unwavering faith of the warriors of the Argent Shroud allows them to fight on through the most terrible wounds and psychic onslaughts.||Use this Stratagem in any phase, when an <span class="tooltip00218" data-tooltip-content="#tooltip_content00218" data-tooltip-anchor="#tooltip_content00218"><span class="kwb">ORDER</span> <span class="kwb2">OF</span> <span class="kwb2">THE</span> <span class="kwb">ARGENT</span> <span class="kwb">SHROUD</span></span> model from your army would lose a wound as a result of a <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wound</a>. Until the end of that phase, each time that model, or any other model in its unit, would lose a wound as a result of a mortal wound, roll one D6: on a 4+, that wound is not lost.|000003061002|
AS|TEAR THEM DOWN|Order of the Bloody Rose – Battle Tactic Stratagem|1|In the fury of battle, the Sisters of the Bloody Rose channel their rage into devastating blows with gun stocks, fists and blades.||Use this Stratagem in the <a href="/wh40k9ed/the-rules/core-rules/#FIGHT-PHASE">Fight phase</a>, when an <span class="tooltip00219" data-tooltip-content="#tooltip_content00219" data-tooltip-anchor="#tooltip_content00219"><span class="kwb">ORDER</span> <span class="kwb2">OF</span> <span class="kwb2">THE</span> <span class="kwb">BLOODY</span> <span class="kwb">ROSE</span></span> unit from your army is selected to fight. Until the end of that phase, each time a model in that unit makes a melee attack, an unmodified <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a> of 6 automatically wounds the target.|000003062002|
AS|CLEANSING FLAMES|Order of the Ebon Chalice – Wargear Stratagem|1|When the Ebon Chalice go to war, they bring with them cleansing flames.||Use this Stratagem in your <a href="/wh40k9ed/the-rules/core-rules/#SHOOTING-PHASE">Shooting phase</a> when an <span class="tooltip00220" data-tooltip-content="#tooltip_content00220" data-tooltip-anchor="#tooltip_content00220"><span class="kwb">ORDER</span> <span class="kwb2">OF</span> <span class="kwb2">THE</span> <span class="kwb">EBON</span> <span class="kwb">CHALICE</span></span> unit from your army is selected to shoot. Until the end of the phase:<br><ul><li>Add 4" to the range of all <a href="/wh40k9ed/factions/adepta-sororitas/#Flame-Weapons">flame weapons</a> that models  in that unit are equipped with.</li><li>Each time a model in that unit makes an attack with a flame weapon, on an unmodified <a href="/wh40k9ed/the-rules/core-rules/#2.-Wound-Roll">wound roll</a> of 4+, the target suffers 1 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wound</a> in addition to any normal damage (a maximum of 3 mortal wounds can be inflicted per phase via this Stratagem).</li></ul>|000003060002|
AS|THE EMPEROR’S JUDGEMENT|Order of the Sacred Rose – Battle Tactic Stratagem|1|None may escape the Emperor's gaze, and where he sees wickedness, there will the Sacred Rose punish.||Use this Stratagem in your <a href="/wh40k9ed/the-rules/core-rules/#SHOOTING-PHASE">Shooting phase</a> when an <span class="tooltip00221" data-tooltip-content="#tooltip_content00221" data-tooltip-anchor="#tooltip_content00221"><span class="kwb">ORDER</span> <span class="kwb2">OF</span> <span class="kwb2">THE</span> <span class="kwb">SACRED</span> <span class="kwb">ROSE</span></span> unit from your army is selected to shoot. Until the end of the phase, each time an attack is made with a ranged weapon by a model in that unit, an unmodified <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a> of 6 scores 1 additional hit.|000003063002|
AS|BLIND FAITH|Order of the Valorous Heart – Battle Tactic Stratagem|1|When the zeal of battle is upon them, the Sisters of the Valorous Heart will trust the Emperor to guide their aim.||Use this Stratagem in your <a href="/wh40k9ed/the-rules/core-rules/#SHOOTING-PHASE">Shooting phase</a>, when an <span class="tooltip00222" data-tooltip-content="#tooltip_content00222" data-tooltip-anchor="#tooltip_content00222"><span class="kwb">ORDER</span> <span class="kwb2">OF</span> <span class="kwb2">THE</span> <span class="kwb">VALOROUS</span> <span class="kwb">HEART</span></span> unit from your army is selected to shoot, or in the <a href="/wh40k9ed/the-rules/core-rules/#FIGHT-PHASE">Fight phase</a>, when an <span class="kwb">ORDER</span> <span class="kwb2">OF</span> <span class="kwb2">THE</span> <span class="kwb">VALOROUS</span> <span class="kwb">HEART</span> unit from your army is selected to fight. Until the end of that phase, each time a model in that unit makes an attack, you can ignore any or all <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a>, Ballistic Skill and Weapon Skill modifiers.|000003058002|
CD|DENIZENS OF THE WARP|Chaos Daemons Stratagem|1/2|Ever lurking in the warp, Daemons will wait until the barriers between realms thin before tearing their way into realspace.||Use this Stratagem during deployment. If you spent 1 CP, set up one of your DAEMON units that has a Power Rating of 8 or less in the warp instead of placing it on the battlefield. If you spent 2 CPs, you can choose a DAEMON unit that has a Power Rating of 9 or more instead. At the end of any of your <a href="/wh40k9ed/the-rules/core-rules/#MOVEMENT-PHASE">Movement phases</a> that unit can tear its way into reality – set it up anywhere on the battlefield that is more than 9" away from any enemy models.|000002630002|
CD|DAEMONIC INCURSION|Chaos Daemons Stratagem|2|When the Knights of Titan deploy to battle, it is often to combat a full-blown daemonic invasion.||Use this Stratagem when one of your DAEMON units (other than a named character) is destroyed by a <a href="/wh40k9ed/factions/grey-knights">GREY KNIGHTS</a> unit. The destroyed unit is returned to your army at full strength, and is set up on the battlefield at the end of your next <a href="/wh40k9ed/the-rules/core-rules/#MOVEMENT-PHASE">Movement phase</a>, anywhere on the battlefield that is more than 9" from any enemy models. This does not cost you any <a href="/wh40k9ed/the-rules/core-rules/#Reinforcement-Points">reinforcement points</a> in a <a href="/wh40k9ed/the-rules/matched-play">matched play</a> game.|000002630003|
CD|SOUL SACRIFICE|Chaos Daemons Stratagem|2|A daemonic pact of terrible power can be assured for a price…||Use this Stratagem before a <span class="tooltip00223" data-tooltip-content="#tooltip_content00223" data-tooltip-anchor="#tooltip_content00223"><span class="kwb">CHAOS</span> <span class="kwb">CHARACTER</span></span> from your army attempts to summon a unit of DAEMONS to the battlefield using a <a href="/wh40k9ed/factions/chaos-daemons/#Daemonic-Ritual">Daemonic Ritual</a>. That character suffers D3 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wounds</a>, but you can roll up to 4 dice rather than 3 for the summoning roll. In addition, re-roll <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit rolls</a> of 1 for the summoned unit while it is within 6" of the character that performed the Daemonic Ritual.|000002630004|
CD|REWARDS OF CHAOS|Chaos Daemons Stratagem|1/3|The Dark Gods sometimes bestow their daemonic lieutenants with powerful artefacts and rewards.||Use this Stratagem before the battle. Your army can have one extra <a href="/wh40k9ed/factions/chaos-daemons/#Hellforged-Artefacts">Hellforged Artefact</a> for 1 CP, or two extra Hellforged Artefacts for 3 CPs. All of the Hellforged Artefacts that you include must be different and be given to different <span class="tooltip00224" data-tooltip-content="#tooltip_content00224" data-tooltip-anchor="#tooltip_content00224"><span class="kwb">DAEMON</span> <span class="kwb">CHARACTERS</span></span>. You can only use this Stratagem once per battle.|000002630005|
CD|DAEMONIC PACT|Chaos Daemons Stratagem|1|Many foul champions are adept at summoning daemonic allies.||Use this Stratagem after a <span class="tooltip00223" data-tooltip-content="#tooltip_content00223" data-tooltip-anchor="#tooltip_content00223"><span class="kwb">CHAOS</span> <span class="kwb">CHARACTER</span></span> from your army summons a unit of DAEMONS to the battlefield using a <a href="/wh40k9ed/factions/chaos-daemons/#Daemonic-Ritual">Daemonic Ritual</a>. That character can immediately attempt to summon a second unit of Daemons to the battlefield by performing another Daemonic Ritual.|000002630006|
CD|DAEMONIC POSSESSION|Chaos Daemons Stratagem|1|Every time a psyker draws upon the warp, they disturb its flow and attract the attention of those that dwell within.||Use this Stratagem when an enemy <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">PSYKER</a> unit suffers <a href="/wh40k9ed/the-rules/core-rules/#Perils-of-the-Warp">Perils of the Warp</a>. That unit suffers 2D3 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wounds</a> instead of D3.|000002630007|
CD|WARP SURGE|Chaos Daemons Stratagem|2|The winds of the warp blow strong, invigorating daemonkind.||Use this Stratagem at the start of any phase. Select a unit of DAEMONS from your army; until the end of the phase, you cannot re-roll <a href="/wh40k9ed/the-rules/core-rules/#4.-Saving-Throw">saving throws</a> for this unit, but its <a href="/wh40k9ed/the-rules/core-rules/#Invulnerable-Saves">invulnerable save</a> is improved by 1 (to a maximum of 4+).|000002630008|
CD|BRAZEN SKULL|Chaos Daemons Stratagem|1|Plucking the skull of an enemy from the ground, this servant of Khorne imbues it with his burning rage and hurls it at the foe.|000000060|Use this Stratagem in your <a href="/wh40k9ed/the-rules/core-rules/#SHOOTING-PHASE">Shooting phase</a>. Pick a LEGION OF SKULLS model from your army. Pick an enemy unit within 8" of this model that is visible to them, and roll a D6; if the result equals or exceeds this model’s Ballistic Skill characteristic, that enemy unit suffers D3 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wounds</a>.|000003288002|
CD|RED TIDE|Chaos Daemons Stratagem|2|When the bloodletting begins, nearby servants of the Blood God are drawn to it with a single-minded focus.|000000060|Use this Stratagem in your <a href="/wh40k9ed/the-rules/core-rules/#CHARGE-PHASE">Charge phase</a>. Pick an enemy unit that was charged by a LEGION OF SKULLS unit from your army this phase. You can add 2 to <a href="/wh40k9ed/the-rules/core-rules/#Charging-with-a-Unit">charge rolls</a> for other LEGION OF SKULLS units from your army that declare a charge against the same enemy unit (and do not declare charges against any other enemy unit) until the end of the phase.|000003288003|
CD|SHADOW PACT|Disciples of Be’lakor – Battle Tactic Stratagem|1|Though they have forsaken the Dark Gods in favour of Be'lakor, his mortal Disciples can still draw temporary power from offering soulpacts to the daemons who fight in his service.|000000161|Use this Stratagem in your <a href="/wh40k9ed/the-rules/core-rules/#COMMAND-PHASE">Command phase</a>. Select one <span class="kwb2">&lt;<span class="kwb3">M</span>ARK</span> <span class="kwb2">OF</span> <span class="kwb">CHAOS&gt;</span> <span class="kwb">LEGION</span> <span class="kwb">DISCIPLES</span> <span class="kwb">INFANTRY</span> unit from your army that has <a href="/wh40k9ed/factions/chaos-space-marines/#MARK-OF-CHAOS-">not dedicated itself to a specific Dark God</a>, and then select one of the pacts below. Until the start of the next Command phase, that unit has that pact.<br><ul><li><b>Pact of Blood:</b> Add 1 to the Attacks characteristic of models in this unit.</li><li><b>Pact of Fate:</b> Models in this unit have a 5+ <a href="/wh40k9ed/the-rules/core-rules/#Invulnerable-Saves">invulnerable save</a>.</li><li><b>Pact of Plague:</b> Add 1 to the Toughness characteristic of models in this unit.</li><li><b>Pact of Excess:</b> Add l" to the Move characteristic of models in this unit. In addition, add 1 to <a href="/wh40k9ed/the-rules/core-rules/#Advance">Advance</a> and <a href="/wh40k9ed/the-rules/core-rules/#Charging-with-a-Unit">charge rolls</a> made for this unit.</li></ul>|000005691002|
CD|DAEMONIC BOON|Disciples of Be’lakor – Battle Tactic Stratagem|1|Mortal and daemon alike fight side by side in the service of the Dark Master, the energies of the immaterium flowing through and  empowering both.|000000161|Use this Stratagem at the start of the <a href="/wh40k9ed/the-rules/core-rules/#FIGHT-PHASE">Fight phase</a>, when a <span class="kwb">LEGION</span> <span class="kwb">DISCIPLES</span> unit (excluding <span class="kwb">VEHICLE</span> units) from your army that is within 6" of a friendly <span class="kwb">DAEMONIC</span> <span class="kwb">DISCIPLES</span> unit is selected to fight. Until the end of the phase, add 1 to the Strength characteristic of models in that <span class="kwb">LEGION</span> <span class="kwb">DISCIPLES</span> unit, and each time a model in that <span class="kwb">LEGION</span> <span class="kwb">DISCIPLES</span> unit makes a melee attack, an unmodified <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a> of 6 automatically wounds the target.|000005691003|
CD|BLESSING OF BE’LAKOR|Disciples of Be’lakor – Epic Deed Stratagem|2|In the instant the enemy's blows fall, Be'lakor's blessings render his worshippers as insubstantial as shadow.|000000161|Use this Stratagem in any phase, when a <a href="/wh40k9ed/the-rules/core-rules/#4.-Saving-Throw">saving throw</a> made for a <span class="kwb">DISCIPLES</span> <span class="kwb2">OF</span> <span class="kwb">BE’LAKOR</span> model from your army against an attack is failed. The Damage characteristic of that attack is changed to 0. You cannot use this Stratagem if <span class="kwb">BE’LAKOR</span> is not on the battlefield.|000005691007|
