roll|name|faction_id|faction_name|legend|type|description|
1|GATE OF INFINITY|GK|Grey Knights|The psyker punches a corridor through the roiling immaterium, allowing him to cross great distances in the blink of an eye.|Dominus Discipline|<b>Blessing:</b> <i>Gate of Infinity</i> has a <a href="/wh40k9ed/the-rules/core-rules/#Psychic-Tests">warp charge</a> value of 7. If <a href="/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers">manifested</a>, select one friendly <span class="tooltip00752" data-tooltip-content="#tooltip_content00752" data-tooltip-anchor="#tooltip_content00752"><span class="kwb">GREY</span> <span class="kwb">KNIGHTS</span> <span class="kwb">PSYKER</span></span> unit within 18" of this <span class="kwb">PSYKER</span> Remove that unit from the battlefield and then set it back up on the battlefield, anywhere that is more than 9" away from any enemy models.|
2|EMPYRIC AMPLIFICATION|GK|Grey Knights|In ritualistic patterns, the psyker overlays a complex web of blessed, psychic amplification around the doomed foe. Matching the intricate martial methods of his brother knights, each strike with their psychically empowered weapons through this field drives more of their manifested power into the enemy.|Dominus Discipline|<b>Malediction:</b> <i>Empyric Amplification</i> has a <a href="/wh40k9ed/the-rules/core-rules/#Psychic-Tests">warp charge</a> value of 7. If <a href="/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers">manifested</a>, select one enemy unit within 12" of and visible to this <span class="kwb">PSYKER</span>. Until the start of your next <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">Psychic phase</a>, each time an attack made with a <a href="/wh40k9ed/factions/grey-knights/#Nemesis-Weapons">Nemesis</a> or <a href="/wh40k9ed/factions/grey-knights/#Psi-Weapons">psi weapon</a> is allocated to a model in that unit, add 1 to the Damage characteristic of that attack.|
3|SANCTUARY|GK|Grey Knights|Chanting words of warding, the psyker creates a zone of light around him that can both protect him from harm and repel daemonic creatures.|Dominus Discipline|<b>Blessing:</b> <i>Sanctuary</i> has a <a href="/wh40k9ed/the-rules/core-rules/#Psychic-Tests">warp charge</a> value of 6. If <a href="/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers">manifested</a>, select one friendly <span class="kwb">GREY</span> <span class="kwb">KNIGHTS</span> unit within 18" of this <span class="kwb">PSYKER</span>. Until the start of your next <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">Psychic phase</a>, models in that unit have a 4+ <a href="/wh40k9ed/the-rules/core-rules/#Invulnerable-Saves">invulnerable save</a>.|
4|VORTEX OF DOOM|GK|Grey Knights|The psyker tears a rift between realspace and the warp, condemning his foes to total oblivion.|Dominus Discipline|<b>Witchfire:</b> <i>Vortex of Doom</i> has a <a href="/wh40k9ed/the-rules/core-rules/#Psychic-Tests">warp charge</a> value of 7. If <a href="/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers">manifested</a>, select the closest enemy unit within 12" of and visible to this <span class="kwb">PSYKER</span>: each other enemy unit within 3" of the selected unit suffers 1 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wound</a>, and then the selected unit suffers 2D3 mortal wounds. If the model manifesting this power has been selected this phase for the <a href="/wh40k9ed/factions/grey-knights/#Warlord-Traits-1">Psychic Epitome</a> Warlord Trait, only the unit you selected suffers the additional mortal wound from that trait, not those other enemy units within 3" of it.|
5|WARP SHAPING|GK|Grey Knights|The psyker draws deep from the very fabric of the warp, moulding it to serve his will and the needs of his battle-brothers.|Dominus Discipline|<b>Blessing:</b> <i>Warp Shaping</i> has a <a href="/wh40k9ed/the-rules/core-rules/#Psychic-Tests">warp charge</a> value of 4. If <a href="/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers">manifested</a>, select one <a href="/wh40k9ed/factions/grey-knights/#Masters-of-the-Warp-1">Tide of the Warp</a> that has not been dominant for your army during this battle. Your army’s currently dominant Tide of the Warp is changed to the selected Tide of the Warp.|
6|GHOSTLY BONDS|GK|Grey Knights|Subtly manipulating the invisible barrier separating the immaterium from the material realm, the psyker causes imperfect wrinkles and bulges within its fabric to gather around his opponents, pushing back against their advance and dragging at their momentum like a spiritual halter.|Dominus Discipline|<b>Malediction:</b> <i>Ghostly Bonds</i> has a <a href="/wh40k9ed/the-rules/core-rules/#Psychic-Tests">warp charge</a> value of 5. If <a href="/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers">manifested</a>, select one enemy unit within 18" of and visible to this <span class="kwb">PSYKER</span>. Until the start of your next <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">Psychic phase</a>, halve that unit’s Move characteristic.|
1|Incursion|CSM|Chaos Space Marines|The psyker opens a portal to the Realm of Chaos, allowing the warp’s daemonic denizens to spill forth into reality.|Malefic Discipline|Incursion has a warp charge value of 7. If <a href="/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers">manifested</a>, the <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">psyker</a> can immediately attempt to summon a unit of DAEMONS to the battlefield using the <a href="/wh40k9ed/factions/chaos-space-marines/#Daemonic-Ritual">Daemonic Ritual</a> ability as if it were the <a href="/wh40k9ed/the-rules/core-rules/#MOVEMENT-PHASE">Movement phase</a>. When doing so, roll up to 4 dice instead of up to 3. The psyker will not suffer any <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wounds</a> as a result of doubles or triples being rolled for this Daemonic Ritual.|
2|Sacrifice|CSM|Chaos Space Marines|The psyker uses a sacrificial soul to remould and repair an unholy Daemon-form. The tainted spirits of Warpsmiths are particularly invigorating offerings to those Daemon Engines that are in their charge.|Malefic Discipline|Sacrifice has a warp charge value of 4. If <a href="/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers">manifested</a>, choose any model within 2" of the <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">psyker</a>; that model suffers 1 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wound</a>. Then, choose a friendly <span class="tooltip01784" data-tooltip-content="#tooltip_content01784" data-tooltip-anchor="#tooltip_content01784"><span class="kwb2">&lt;<span class="kwb3">L</span>EGION&gt;</span> <span class="kwb">DAEMON</span></span> model within 18" of the psyker. That model regains D3 lost wounds. If that <LEGION> DAEMON model is a <span class="tooltip01358" data-tooltip-content="#tooltip_content01358" data-tooltip-anchor="#tooltip_content01358"><span class="kwb">DAEMON</span> <span class="kwb">ENGINE</span></span> and the model you chose to inflict the mortal wound on was a friendly <span class="tooltip01381" data-tooltip-content="#tooltip_content01381" data-tooltip-anchor="#tooltip_content01381"><span class="kwb2">&lt;<span class="kwb3">L</span>EGION&gt;</span> <span class="kwb">WARPSMITH</span></span>, the model regains 3 lost wounds instead.|
3|Mutated Invigoration|CSM|Chaos Space Marines|A wave of insanity and mutation flows from the psyker’s fingers, enveloping their Daemonkin allies with bountiful gifts.|Malefic Discipline|Mutated Invigoration has a warp charge value of 7. If <a href="/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers">manifested</a>, select a friendly <span class="tooltip01785" data-tooltip-content="#tooltip_content01785" data-tooltip-anchor="#tooltip_content01785"><span class="kwb">CHAOS</span> <span class="kwb">SPAWN</span></span> , <span class="tooltip01786" data-tooltip-content="#tooltip_content01786" data-tooltip-anchor="#tooltip_content01786"><span class="kwb2">&lt;<span class="kwb3">L</span>EGION&gt;</span> <span class="kwb">POSSESSED</span></span> or <span class="tooltip01787" data-tooltip-content="#tooltip_content01787" data-tooltip-anchor="#tooltip_content01787"><span class="kwb2">&lt;<span class="kwb3">L</span>EGION&gt;</span> <span class="kwb">CULT</span> <span class="kwb2">OF</span> <span class="kwb">DESTRUCTION</span></span> unit within 18" of the <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">psyker</a>. Until the start of your next <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">Psychic phase</a>, that unit will gain a bonus depending on what unit it is, as follows:<br><ul><li>You can re-roll the dice when rolling for that Chaos Spawn’s <span class="redfont">Mutated Beyond Reason</span> ability.</li><li>You can re-roll the dice when rolling for the Attacks characteristic of that unit of Possessed due to its <span class="redfont">Writhing Tentacles</span> ability.</li><li>You can re-roll one of the dice when rolling for the Strength, AP and Damage characteristics of that Cult of Destruction unit’s weapons due to its <span class="redfont">Fleshmetal Guns</span> or <span class="redfont">Fleshmetal Weapons</span> ability.</li></ul>|
4|Possession|CSM|Chaos Space Marines|The psyker blasts away their enemy’s soul so that the spiritless shell left behind can be possessed by a Daemon, who quickly transforms it into a more pleasing form. Vehicles so possessed are typically unable to contain the Daemon within, and explode in a scream of empyric energy.|Malefic Discipline|Possession has a warp charge value of 5. If <a href="/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers">manifested</a>, then until the start of your next <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">Psychic phase</a>, the Armour Penetration characteristic of the <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">psyker’s</a> melee weapons is improved by 2 (e.g. an AP of -1 becomes -3). Furthermore, until the start of your next Psychic phase, each time the psyker destroys an enemy INFANTRY CHARACTER in the <a href="/wh40k9ed/the-rules/core-rules/#FIGHT-PHASE">Fight phase</a>, you can add a <a href="/wh40k9ed/factions/chaos-space-marines/Chaos-Spawn">Chaos Spawn</a> model to your army. If the destroyed model was ADEPTUS ASTARTES or HERETIC ASTARTES, you can instead add a <a href="/wh40k9ed/factions/chaos-space-marines/Greater-Possessed">Greater Possessed</a> model to your army. If a new model is added to your army, set it up within 6" of the psyker and more than 1" from any enemy models. In addition, each time the psyker destroys an enemy VEHICLE model in the Fight phase that could explode, it automatically explodes; no dice roll is made and any <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wounds</a> suffered by the psyker in the resulting explosion are ignored.|
5|Cursed Earth|CSM|Chaos Space Marines|The psyker becomes a conduit through which the energies of the warp flow, tainting the very ground and sustaining the Daemonkin that walk upon it.|Malefic Discipline|Cursed Earth has a warp charge value of 7. If <a href="/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers">manifested</a>, then until the start of your next <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">Psychic phase</a>, the <a href="/wh40k9ed/the-rules/core-rules/#Invulnerable-Saves">invulnerable save</a> of friendly <span class="tooltip01784" data-tooltip-content="#tooltip_content01784" data-tooltip-anchor="#tooltip_content01784"><span class="kwb2">&lt;<span class="kwb3">L</span>EGION&gt;</span> <span class="kwb">DAEMON</span></span> units is improved by 1 (to a maximum of 3+) while they are within 6" of this <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">psyker</a>.|
6|Infernal Power|CSM|Chaos Space Marines|The fell power of the immaterium flows from the psyker, imbuing the Daemons that reside within his followers’ bodies with even greater ferocity.|Malefic Discipline|Infernal Power has a warp charge value of 6. If <a href="/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers">manifested</a>, then until the start of your next <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">Psychic phase</a> re-roll hit and <a href="/wh40k9ed/the-rules/core-rules/#2.-Wound-Roll">wound rolls</a> of 1 for attacks made by friendly <span class="tooltip01784" data-tooltip-content="#tooltip_content01784" data-tooltip-anchor="#tooltip_content01784"><span class="kwb2">&lt;<span class="kwb3">L</span>EGION&gt;</span> <span class="kwb">DAEMON</span></span> units while they are within 6" of this <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">psyker</a>.|
1|GAZE OF YNNEAD|YNN|Ynnari|The psyker’s eyes blaze with fire as they channel the power of Ynnead.|Revenant Discipline|Gaze of Ynnead has a warp charge value of 6. If <a href="/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers">manifested</a>, select one enemy unit that is within 18" of and visible to this psyker and roll one D6: on a 1, that unit suffers 1 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wound</a>; on a 2-5 that unit suffers D3 mortal wounds; on a 6, that unit suffers D6 mortal wounds.|
2|STORM OF WHISPERS|YNN|Ynnari|The psyker’s voice joins with those of the dead to drive the foe insane.|Revenant Discipline|Storm of Whispers has a warp charge value of 6. If <a href="/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers">manifested</a>, roll three D6 for each enemy unit within 6" of this psyker; for each result of 6, the unit being rolled for suffers 1 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wound</a>.|
3|WORD OF THE PHOENIX|YNN|Ynnari|The psyker calls upon the rebirthing energies of the mythical phoenix.|Revenant Discipline|Word of the Phoenix has a warp charge value of 5. If <a href="/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers">manifested</a>, select one friendly <span class="tooltip01761" data-tooltip-content="#tooltip_content01761" data-tooltip-anchor="#tooltip_content01761"><span class="kwb">YNNARI</span> <span class="kwb">INFANTRY</span></span> or <span class="tooltip" title="Keyword does not appear in that faction."><s class="kwbs">YNNARI BIKER</s></span> unit within 18" of this psyker. If that unit contains a model that has lost any wounds, that model regains up to D3 lost wounds. Otherwise, if any models from that unit have been destroyed, roll one D6; on a 4+ you can return one destroyed model from that unit to the battlefield with 1 wound remaining, placing it in <a href="/wh40k9ed/the-rules/core-rules/#Unit-Coherency">unit coherency</a> (if the model cannot be placed in this way, it is not returned to the battlefield).|
4|UNBIND SOULS|YNN|Ynnari|The psyker reaches out with their powers to weaken the bond between soul and body.|Revenant Discipline|Unbind Souls has a warp charge value of 6. If <a href="/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers">manifested</a>, select one enemy unit within 18" of this psyker. Until the start of your next <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">Psychic phase</a>, when resolving an attack made with a melee weapon by a friendly YNNARI model against that enemy unit, you can re-roll the <a href="/wh40k9ed/the-rules/core-rules/#2.-Wound-Roll">wound roll</a>.|
5|SHIELD OF YNNEAD|YNN|Ynnari|The psyker manifests a shield of spiritual energy around their allies.|Revenant Discipline|Shield of Ynnead has a warp charge value of 7. If <a href="/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers">manifested</a>, until the start of your next <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">Psychic phase</a>, friendly YNNARI units have a 5+ <a href="/wh40k9ed/the-rules/core-rules/#Invulnerable-Saves">invulnerable save</a> whilst they are within 6" of this psyker.|
6|ANCESTOR’S GRACE|YNN|Ynnari|Drawing upon the greatness that is the genetic legacy of all Aeldari, the psyker bolsters their fellows.|Revenant Discipline|Ancestor’s Grace has a warp charge value of 5. If <a href="/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers">manifested</a>, select one friendly YNNARI unit within 18" of this psyker. Until the start of your next <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">Psychic phase</a>, when resolving an attack made by a model in that unit, re-roll a <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a> of 1.|
1|MIND WORM|SM|Space Marines|The Librarian burrows his consciousness into the screaming victim’s brain, ripping free their secrets in a spray of gore.|Interromancy Discipline|<b>Malediction:</b> <i>Mind Worm</i> has a warp charge value of 6. If <a href="/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers">manifested</a>, select one enemy unit within 18" of this <span class="kwb">PSYKER</span>.<br><ul><li>That unit suffers 1 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wound</a>.</li><li>Until the start of your next <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">Psychic phase</a>, in the <a href="/wh40k9ed/the-rules/core-rules/#FIGHT-PHASE">Fight phase</a>, that unit is not eligible to fight until all other eligible units from your army have done so.</li></ul>|
2|AVERSION|SM|Space Marines|The Librarian sends waves of cold fear washing outwards. The foe find themselves unable to focus upon the psyker, their subconscious screaming at them to look away for fear of what they will see.|Interromancy Discipline|<b>Malediction:</b> <i>Aversion</i> has a warp charge value of 6. If <a href="/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers">manifested</a>, select one enemy unit within 24" of this <span class="kwb">PSYKER</span>. Until the start of your next <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">Psychic phase</a>:<br><ul><li>While that unit is within 6" of this <span class="kwb">PSYKER</span>, subtract 1 from the Attacks characteristic of models in that unit.</li><li>Each time a model in that unit makes an attack, subtract 1 from that attacks <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a>.</li></ul>|
3|RIGHTEOUS REPUGNANCE|SM|Space Marines|Reaching into the minds of his brothers, the Librarian stokes the fires of their hate, and the Dark Angels respond with a surge of cold, furious violence.|Interromancy Discipline|<b>Blessing:</b> <i>Righteous Repugnance</i> has a warp charge value of 7. If <a href="/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers">manifested</a>, select one friendly <span class="kwb">DARK</span> <span class="kwb">ANGELS</span> unit within 12" of this <span class="kwb">PSYKER</span>. Until the start of your next <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">Psychic phase</a>, each time a model in that unit makes a melee attack, you can re-roll the <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a> and you can re-roll the <a href="/wh40k9ed/the-rules/core-rules/#2.-Wound-Roll">wound roll</a>.|
4|TREPHINATION|SM|Space Marines|The Librarian gathers his thoughts into a white-hot spike to plunge straight into his victim’s mind, leaving the foe’s brain matter dribbling from their ears.|Interromancy Discipline|<b>Witchfire:</b> <i>Trephination</i> has a warp charge value of 5. If <a href="/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers">manifested</a>, the closest enemy unit within 18" of and visible to this <span class="kwb">PSYKER</span> suffers D3 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wounds</a>. If the result of the <a href="/wh40k9ed/the-rules/core-rules/#Psychic-Tests">Psychic test</a> was greater than the Leadership characteristic of the enemy unit, that enemy unit suffers 3 mortal wounds instead.|
5|ENGULFING FEAR|SM|Space Marines|The Librarian inveigles his way into the minds of his foes. Subtly, he twists and heightens their fears.|Interromancy Discipline|<b>Malediction:</b> <i>Engulfing Fear</i> has a warp charge value of 7. If <a href="/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers">manifested</a>, select one enemy unit within 24" of this <span class="kwb">PSYKER</span>. Until the start of your next <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">psychic phase</a>:<br><ul><li>Subtract 1 from Leadership characteristic of models in that unit.</li><li>That unit cannot use the <a href="/wh40k9ed/the-rules/core-rules/#Objective-Secured">Objective Secured</a> ability or any similar abilities that allow them to control an <a href="/wh40k9ed/the-rules/core-rules/#Objective-Markers">objective marker</a> regardless of the number of enemy models within range of an objective marker.</li><li>If the result of the <a href="/wh40k9ed/the-rules/core-rules/#Psychic-Tests">Psychic test</a> was equal to or greater than that units Leadership characteristic, that unit cannot perform <a href="/wh40k9ed/the-rules/core-rules/#Actions">actions</a> (if that unit is currently performing an action, it immediately fails).</li></ul>|
6|MIND WIPE|SM|Space Marines|The Librarian scourges the minds of his foes, dragging out every memory that makes them who they are and reducing them to hollow shells of what they once were.|Interromancy Discipline|<b>Malediction:</b> <i>Mind Wipe</i> has a warp charge value of 7. If <a href="/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers">manifested</a>, select one enemy unit within 18" of this <span class="kwb">PSYKER</span>, then select one <a href="/wh40k9ed/the-rules/core-rules/#Aura-Abilities">aura ability</a> that unit has. Until the start of your next <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">psychic phase</a>, that unit loses that aura ability.|
1|Shrouding|DA|Dark Angels|The psyker uses his mastery of the warp to fog the minds of his enemies, clouding their senses so that his allies appear as nothing more than indistinct shadows.|Obscuration Discipline|Shrouding has a warp charge value of 6. If <a href="/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers">manifested</a>, select one friendly <span class="tooltip" title="Keyword does not appear in that faction."><s class="kwbs">DARK ANGELS PHOBOS</s></span> unit within 18" of this psyker. Until the start of your next <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">Psychic phase</a>, enemy models can only shoot that unit if it is the closest target that is visible to them or they are firing <a href="/wh40k9ed/the-rules/core-rules/#Overwatch">Overwatch</a>.|
2|Soul Sight|DA|Dark Angels|The psyker shares his warp-sight with his brethren, causing their eyes to glow with an ethereal light. So empowered, no foe can escape their omniscient gaze; the souls of their targets flare like flaming beacons in the dark.|Obscuration Discipline|Soul Sight has a warp charge value of 6. If <a href="/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers">manifested</a>, select one friendly <span class="tooltip" title="Keyword does not appear in that faction."><s class="kwbs">DARK ANGELS PHOBOS</s></span> unit within 18" of this psyker. Until the start of your next <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">Psychic phase</a>, when resolving an attack made with a ranged weapon by a model in that unit, you can re-roll the <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a> and the target does not receive the <a href="/wh40k9ed/the-rules/core-rules/#Terrain-and-Cover">benefit of cover</a> to its saving throw.|
3|Mind Raid|DA|Dark Angels|The psyker peers into the mind of the foe, raiding their thoughts for secret codes, battle plans, the location of hidden forces and any other tactical information that might be useful. Such brute psychic interrogation doubtless inflicts severe cerebral trauma on its victim.|Obscuration Discipline|Mind Raid has a warp charge value of 6. If <a href="/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers">manifested</a>, select one enemy model within 18" of and visible to this psyker. That model’s unit suffers 1 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wound</a>. If your army is <a href="/wh40k9ed/the-rules/core-rules/#BATTLE-FORGED-ARMIES">Battle-forged</a> and that model is a <a href="/wh40k9ed/the-rules/core-rules/#Characters">CHARACTER</a>, roll 3D6; if the result is equal to or greater than that model’s Leadership characteristic, you gain 1 <a href="/wh40k9ed/the-rules/core-rules/#Command-Points">Command Point</a>.|
4|Hallucination|DA|Dark Angels|The psyker conjures images out of his foes’ own memories – from past allies seemingly returned from the dead, to apparitions wrought from their darkest nightmares. Paranoia, confusion and panic reign under such a psychic assault.|Obscuration Discipline|Hallucination has a warp charge value of 6. If <a href="/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers">manifested</a>, select one enemy unit within 18" of and visible to this psyker. Until the start of your next <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">Psychic phase</a>, subtract 1 from the Leadership characteristic of models in that unit. Your opponent then rolls 2D6; if the result is greater than the highest Leadership characteristic of models in that unit, then until the start of your next Psychic phase, when resolving an attack made by a model in that unit, subtract 1 from the <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a>.|
5|Tenebrous Curse|DA|Dark Angels|The psyker sends a psychic bolt lancing through his foes’ minds. As they reel from the assault, their own shadows come to life and drag down their casters.|Obscuration Discipline|Tenebrous Curse has a warp charge value of 6. If <a href="/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers">manifested</a>, select one enemy unit that cannot <a href="/wh40k9ed/the-rules/core-rules/#Flying">FLY</a> and is within 18" of and visible to this psyker. That unit suffers 1 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wound</a> and, until the start of your next <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">Psychic phase</a>, halve that unit’s Move characteristic and the result of any <a href="/wh40k9ed/the-rules/core-rules/#Advance">Advance rolls</a> and <a href="/wh40k9ed/the-rules/core-rules/#Charging-with-a-Unit">charge rolls</a> made for it (rounding up).|
6|Temporal Corridor|DA|Dark Angels|The psyker creates an invisible corridor in which the passage of time is altered, allowing his allies to traverse the battlefield with supernatural swiftness.|Obscuration Discipline|Temporal Corridor has a warp charge value of 7. If <a href="/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers">manifested</a>, select one friendly <span class="tooltip" title="Keyword does not appear in that faction."><s class="kwbs">DARK ANGELS PHOBOS</s></span> unit within 3" of this psyker. That unit can immediately move as if it were your <a href="/wh40k9ed/the-rules/core-rules/#MOVEMENT-PHASE">Movement phase</a>, but it cannot <a href="/wh40k9ed/the-rules/core-rules/#Fall-Back">Fall Back</a> as part of this move and must Advance. When the <a href="/wh40k9ed/the-rules/core-rules/#Advance">Advance roll</a> is made for that Advance, roll 3D6 and discard two of the results. You cannot use Temporal Corridor on the same unit more than once per <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">Psychic phase</a>.|
1|SHROUDING|BA|Blood Angels|The psyker uses his mastery of the warp to fog the minds of his enemies, clouding their senses so that his allies appear as nothing more than indistinct shadows.|Obscuration Discipline|Shrouding has a warp charge value of 6. If <a href="/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers">manifested</a>, select one friendly <span class="tooltip" title="Keyword does not appear in that faction."><s class="kwbs">BLOOD ANGELS PHOBOS</s></span> unit within 18" of this psyker. Until the start of your next <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">Psychic phase</a>, enemy models can only shoot that unit if it is the closest target that is visible to them or they are firing <a href="/wh40k9ed/the-rules/core-rules/#Overwatch">Overwatch</a>.|
2|SOUL SIGHT|BA|Blood Angels|The psyker shares his warp-sight with his brethren, causing their eyes to glow with an ethereal light. So empowered, no foe can escape their omniscient gaze; the souls of their targets flare like flaming beacons in the dark.|Obscuration Discipline|Soul Sight has a warp charge value of 6. If <a href="/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers">manifested</a>, select one friendly <span class="tooltip" title="Keyword does not appear in that faction."><s class="kwbs">BLOOD ANGELS PHOBOS</s></span> unit within 18" of this psyker. Until the start of your next <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">Psychic phase</a>, when resolving an attack made with a ranged weapon by a model in that unit, you can re- roll the <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a> and the target does not receive the <a href="/wh40k9ed/the-rules/core-rules/#Terrain-and-Cover">benefit of cover</a> to its <a href="/wh40k9ed/the-rules/core-rules/#4.-Saving-Throw">saving throw</a>.|
3|MIND RAID|BA|Blood Angels|The psyker peers into the mind of the foe, raiding their thoughts for secret codes, battle plans, the location of hidden forces and any other tactical information that might be useful. Such brute psychic interrogation doubtless inflicts severe cerebral trauma on its victim.|Obscuration Discipline|Mind Raid has a warp charge value of 6. If <a href="/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers">manifested</a>, select one enemy model within 18" of and visible to this psyker. That model’s unit suffers 1 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wound</a>. If your army is <a href="/wh40k9ed/the-rules/core-rules/#BATTLE-FORGED-ARMIES">Battle-forged</a> and that model is a <a href="/wh40k9ed/the-rules/core-rules/#Characters">CHARACTER</a>, roll 3D6; if the result is equal to or greater than that model’s Leadership characteristic, you gain 1 <a href="/wh40k9ed/the-rules/core-rules/#Command-Points">Command Point</a>.|
4|HALLUCINATION|BA|Blood Angels|The psyker instils terror in his foes by conjuring nightmarish images out of their memories.|Obscuration Discipline|Hallucination has a warp charge value of 6. If <a href="/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers">manifested</a>, select one enemy unit within 18" of and visible to this psyker. Until the start of your next <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">Psychic phase</a>, subtract 1 from the Leadership characteristic of models in that unit. Your opponent then rolls 2D6; if the result is greater than the highest Leadership characteristic of models in that unit, then until the start of your next Psychic phase, when resolving an attack made by a model in that unit, subtract 1 from the <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a>.|
